species_a,species_b,class_a,class_b,co_segments,min_count,jaccard
22961,517063,Amphibia,Amphibia,24,36,0.07384615384615385
23158,25092,Amphibia,Amphibia,24,24,0.13714285714285715
47158son23,47158son25,Insecta,Insecta,24,24,0.2857142857142857
47158son13,47158son25,Insecta,Insecta,24,36,0.25
22973,24279,Amphibia,Amphibia,24,173,0.06629834254143646
47158son13,47158son22,Insecta,Insecta,24,24,0.6666666666666666
47158son22,47158son23,Insecta,Insecta,24,24,1.0
47158son22,47158son25,Insecta,Insecta,24,24,0.2857142857142857
22973,compau,Amphibia,Aves,24,38,0.10572687224669604
47158son11,47158son24,Insecta,Insecta,24,24,0.6666666666666666
47158son13,47158son23,Insecta,Insecta,24,24,0.6666666666666666
47158son25,chacha1,Insecta,Aves,23,65,0.18253968253968253
47158son21,47158son25,Insecta,Insecta,22,22,0.2619047619047619
47158son21,47158son23,Insecta,Insecta,22,22,0.9166666666666666
22973,24321,Amphibia,Amphibia,22,172,0.06060606060606061
47158son21,47158son22,Insecta,Insecta,22,22,0.9166666666666666
47158son13,47158son21,Insecta,Insecta,22,22,0.6111111111111112
chacha1,chvcon1,Aves,Aves,21,35,0.26582278481012656
517063,trsowl,Amphibia,Aves,21,26,0.0660377358490566
22973,trsowl,Amphibia,Aves,21,26,0.0963302752293578
22973,23158,Amphibia,Amphibia,21,175,0.05722070844686648
22967,litnig1,Amphibia,Aves,20,37,0.11627906976744186
22973,litnig1,Amphibia,Aves,20,37,0.08695652173913043
22973,47158son24,Amphibia,Insecta,20,24,0.09216589861751152
22973,47158son11,Amphibia,Insecta,20,36,0.08733624454148471
22967,24279,Amphibia,Amphibia,20,155,0.06493506493506493
1491113,65380,Amphibia,Amphibia,19,79,0.04834605597964377
25092,65380,Amphibia,Amphibia,19,24,0.05621301775147929
22967,23158,Amphibia,Amphibia,18,155,0.057692307692307696
24321,25092,Amphibia,Amphibia,18,24,0.10112359550561797
22967,trsowl,Amphibia,Aves,18,26,0.11042944785276074
47158son06,47158son25,Insecta,Insecta,18,18,0.21428571428571427
22973,66971,Amphibia,Amphibia,17,149,0.04927536231884058
517063,litnig1,Amphibia,Aves,17,37,0.05105105105105105
22967,555146,Amphibia,Amphibia,17,155,0.04885057471264368
65380,trsowl,Amphibia,Aves,16,26,0.04664723032069971
47158son03,chacha1,Insecta,Aves,16,33,0.1951219512195122
517063,undtin1,Amphibia,Aves,16,43,0.047058823529411764
47158son17,chacha1,Insecta,Aves,16,43,0.17391304347826086
1491113,23158,Amphibia,Amphibia,14,79,0.058333333333333334
orwpar,whtdov,Aves,Aves,13,13,0.20634920634920634
22967,undtin1,Amphibia,Aves,13,43,0.07027027027027027
47158son07,orwpar,Insecta,Aves,13,13,0.2708333333333333
compau,litnig1,Aves,Aves,13,37,0.20967741935483872
1491113,compau,Amphibia,Aves,13,38,0.125
22967,47158son11,Amphibia,Insecta,12,36,0.0670391061452514
22967,47158son24,Amphibia,Insecta,12,24,0.0718562874251497
undtin1,whtdov,Aves,Aves,12,43,0.1276595744680851
chacha1,orwpar,Aves,Aves,12,13,0.18181818181818182
24279,25092,Amphibia,Amphibia,12,24,0.06486486486486487
22973,undtin1,Amphibia,Aves,12,43,0.04918032786885246
22973,326272,Amphibia,Amphibia,12,23,0.05357142857142857
22967,redjun,Amphibia,Aves,12,12,0.07741935483870968
517063,redjun,Amphibia,Aves,12,12,0.038338658146964855
22961,24279,Amphibia,Amphibia,12,36,0.06091370558375635
22961,24321,Amphibia,Amphibia,12,36,0.061224489795918366
1491113,bufpar,Amphibia,Aves,12,14,0.14814814814814814
22973,25073,Amphibia,Amphibia,12,12,0.056338028169014086
47158son13,47158son24,Insecta,Insecta,12,24,0.25
47158son14,47158son25,Insecta,Insecta,12,12,0.14285714285714285
22973,47158son13,Amphibia,Insecta,12,36,0.05063291139240506
47158son15,47158son25,Insecta,Insecta,12,12,0.14285714285714285
47158son15,47158son16,Insecta,Insecta,12,12,1.0
22961,555146,Amphibia,Amphibia,12,36,0.05128205128205128
47158son20,47158son25,Insecta,Insecta,12,12,0.14285714285714285
47158son17,47158son23,Insecta,Insecta,12,24,0.21818181818181817
47158son17,47158son22,Insecta,Insecta,12,24,0.21818181818181817
47158son16,47158son25,Insecta,Insecta,12,12,0.14285714285714285
47158son17,47158son20,Insecta,Insecta,12,12,0.27906976744186046
326272,47158son11,Amphibia,Insecta,12,23,0.2553191489361702
25092,66971,Amphibia,Amphibia,12,24,0.07453416149068323
47158son06,47158son14,Insecta,Insecta,12,12,0.6666666666666666
47158son07,undtin1,Insecta,Aves,12,43,0.1518987341772152
47158son08,47158son11,Insecta,Insecta,12,17,0.2926829268292683
47158son08,47158son17,Insecta,Insecta,12,17,0.25
47158son08,47158son20,Insecta,Insecta,12,12,0.7058823529411765
47158son08,47158son25,Insecta,Insecta,12,17,0.1348314606741573
47158son08,chacha1,Insecta,Aves,12,17,0.17142857142857143
47158son11,47158son17,Insecta,Insecta,12,36,0.1791044776119403
47158son11,47158son20,Insecta,Insecta,12,12,0.3333333333333333
47158son13,47158son17,Insecta,Insecta,12,36,0.1791044776119403
47158son11,47158son13,Insecta,Insecta,12,36,0.2
47158son11,47158son25,Insecta,Insecta,12,36,0.1111111111111111
25073,47158son13,Amphibia,Insecta,12,12,0.3333333333333333
326272,47158son13,Amphibia,Insecta,12,23,0.2553191489361702
47158son03,47158son18,Insecta,Insecta,12,12,0.36363636363636365
47158son03,47158son10,Insecta,Insecta,12,33,0.2222222222222222
47158son04,47158son10,Insecta,Insecta,12,17,0.3157894736842105
47158son04,47158son25,Insecta,Insecta,12,17,0.1348314606741573
25073,326272,Amphibia,Amphibia,12,12,0.5217391304347826
25073,47158son11,Amphibia,Insecta,12,12,0.3333333333333333
326272,47158son24,Amphibia,Insecta,12,23,0.34285714285714286
25073,47158son24,Amphibia,Insecta,12,12,0.5
43435,47158son25,Mammalia,Insecta,12,12,0.14285714285714285
43435,47158son14,Mammalia,Insecta,12,12,1.0
43435,47158son06,Mammalia,Insecta,12,12,0.6666666666666666
47158son01,47158son22,Insecta,Insecta,12,23,0.34285714285714286
47158son01,47158son13,Insecta,Insecta,12,23,0.2553191489361702
47158son01,47158son25,Insecta,Insecta,12,23,0.12631578947368421
47158son01,47158son23,Insecta,Insecta,12,23,0.34285714285714286
47158son03,47158son25,Insecta,Insecta,12,33,0.11428571428571428
47158son17,47158son21,Insecta,Insecta,11,22,0.2037037037037037
22967,nacnig1,Amphibia,Aves,11,11,0.07096774193548387
22973,nacnig1,Amphibia,Aves,11,11,0.051643192488262914
litnig1,nacnig1,Aves,Aves,11,11,0.2972972972972973
22967,47144,Amphibia,Mammalia,11,15,0.06918238993710692
47158son10,chacha1,Insecta,Aves,11,33,0.12643678160919541
47158son01,47158son24,Insecta,Insecta,11,23,0.3055555555555556
47158son01,47158son21,Insecta,Insecta,11,22,0.3235294117647059
47158son01,47158son11,Insecta,Insecta,11,23,0.22916666666666666
22967,47158son01,Amphibia,Insecta,11,23,0.0658682634730539
22967,66971,Amphibia,Amphibia,11,149,0.03754266211604096
compau,undtin1,Aves,Aves,10,38,0.14084507042253522
47158son16,47158son17,Insecta,Insecta,10,12,0.2222222222222222
47158son15,47158son17,Insecta,Insecta,10,12,0.2222222222222222
bufpar,hyamac1,Aves,Aves,10,10,0.7142857142857143
47158son20,chacha1,Insecta,Aves,10,12,0.14925373134328357
47158son25,whtdov,Insecta,Aves,10,63,0.072992700729927
47158son11,chacha1,Insecta,Aves,10,36,0.10989010989010989
22973,redjun,Amphibia,Aves,10,12,0.046511627906976744
47158son10,whtdov,Insecta,Aves,10,33,0.11627906976744186
25092,517063,Amphibia,Amphibia,10,24,0.03058103975535168
chvcon1,undtin1,Aves,Aves,10,35,0.14705882352941177
1491113,hyamac1,Amphibia,Aves,10,10,0.12658227848101267
65380,compau,Amphibia,Aves,10,38,0.027700831024930747
65380,undtin1,Amphibia,Aves,10,43,0.0273224043715847
47158son03,whtdov,Insecta,Aves,10,33,0.11627906976744186
22973,67107,Amphibia,Amphibia,9,9,0.04225352112676056
47158son04,bafcur1,Insecta,Aves,9,9,0.5294117647058824
22967,47158son03,Amphibia,Insecta,9,33,0.05027932960893855
65377,65380,Amphibia,Amphibia,9,9,0.02702702702702703
47158son10,bafcur1,Insecta,Aves,9,9,0.2727272727272727
25073,67107,Amphibia,Amphibia,9,9,0.75
47158son11,67107,Insecta,Amphibia,9,9,0.25
47158son03,47158son11,Insecta,Insecta,9,33,0.15
47158son01,47158son03,Insecta,Insecta,9,23,0.19148936170212766
47144,compau,Mammalia,Aves,9,15,0.20454545454545456
47158son03,47158son24,Insecta,Insecta,9,24,0.1875
47158son17,47158son18,Insecta,Insecta,9,12,0.1956521739130435
47158son13,67107,Insecta,Amphibia,9,9,0.25
47158son24,67107,Insecta,Amphibia,9,9,0.375
47158son03,47158son17,Insecta,Insecta,9,33,0.13432835820895522
22961,65377,Amphibia,Amphibia,9,9,0.25
116570,47158son25,Reptilia,Insecta,9,13,0.10227272727272728
1491113,trsowl,Amphibia,Aves,9,26,0.09375
326272,67107,Amphibia,Amphibia,9,9,0.391304347826087
47158son25,bafcur1,Insecta,Aves,9,9,0.10714285714285714
litnig1,undtin1,Aves,Aves,8,37,0.1111111111111111
47158son10,47158son21,Insecta,Insecta,8,22,0.1702127659574468
116570,47158son17,Reptilia,Insecta,8,13,0.16666666666666666
47158son10,47158son17,Insecta,Insecta,8,33,0.11764705882352941
47158son10,47158son13,Insecta,Insecta,8,33,0.13114754098360656
47158son10,47158son22,Insecta,Insecta,8,24,0.16326530612244897
compau,nacnig1,Aves,Aves,8,11,0.1951219512195122
47158son10,47158son23,Insecta,Insecta,8,24,0.16326530612244897
47158son11,517063,Insecta,Amphibia,7,36,0.02046783625730994
47158son06,47158son10,Insecta,Insecta,7,18,0.1590909090909091
47158son01,517063,Insecta,Amphibia,7,23,0.02127659574468085
bufpar,whtdov,Aves,Aves,7,14,0.1
47158son24,517063,Insecta,Amphibia,7,24,0.021212121212121213
43435,47158son02,Mammalia,Insecta,7,7,0.5833333333333334
22967,24321,Amphibia,Amphibia,7,155,0.021875
47158son02,47158son25,Insecta,Insecta,7,7,0.08333333333333333
22973,47158son01,Amphibia,Insecta,7,23,0.03056768558951965
47158son02,47158son06,Insecta,Insecta,7,7,0.3888888888888889
47158son02,47158son14,Insecta,Insecta,7,7,0.5833333333333334
22973,47144,Amphibia,Mammalia,7,15,0.03167420814479638
22967,47158son09,Amphibia,Insecta,6,6,0.03870967741935484
517063,compau,Amphibia,Aves,6,38,0.017391304347826087
47158son04,47158son06,Insecta,Insecta,6,17,0.20689655172413793
66971,hyamac1,Amphibia,Aves,6,10,0.0392156862745098
65380,redjun,Amphibia,Aves,6,12,0.017699115044247787
66971,bufpar,Amphibia,Aves,6,14,0.03821656050955414
1491113,66971,Amphibia,Amphibia,6,79,0.02702702702702703
47158son09,47158son11,Insecta,Insecta,6,6,0.16666666666666666
47158son09,47158son24,Insecta,Insecta,6,6,0.25
trsowl,undtin1,Aves,Aves,5,26,0.078125
47144,litnig1,Mammalia,Aves,5,15,0.10638297872340426
116570,47158son03,Reptilia,Insecta,5,13,0.12195121951219512
purjay1,whtdov,Aves,Aves,5,5,0.07936507936507936
47158son19,chacha1,Insecta,Aves,5,5,0.07692307692307693
47158son18,chacha1,Insecta,Aves,5,12,0.06944444444444445
47158son03,47158son09,Insecta,Insecta,5,6,0.14705882352941177
47158son04,47158son11,Insecta,Insecta,5,17,0.10416666666666667
47158son03,517063,Insecta,Amphibia,5,33,0.01466275659824047
47158son04,47158son24,Insecta,Insecta,5,17,0.1388888888888889
47158son12,47158son24,Insecta,Insecta,5,5,0.20833333333333334
22973,47158son03,Amphibia,Insecta,5,33,0.02074688796680498
22973,47158son09,Amphibia,Insecta,5,6,0.02336448598130841
24279,redjun,Amphibia,Aves,5,12,0.027777777777777776
22973,47158son04,Amphibia,Insecta,5,17,0.022222222222222223
magant1,whtdov,Aves,Aves,5,5,0.07936507936507936
47158son17,47158son19,Insecta,Insecta,5,5,0.11627906976744186
47144,undtin1,Mammalia,Aves,5,15,0.09433962264150944
47158son01,47158son12,Insecta,Insecta,5,5,0.21739130434782608
47158son01,47158son09,Insecta,Insecta,5,6,0.20833333333333334
47158son03,47158son12,Insecta,Insecta,5,5,0.15151515151515152
47158son11,47158son12,Insecta,Insecta,5,5,0.1388888888888889
47158son07,47158son08,Insecta,Insecta,5,17,0.08333333333333333
47158son08,chvcon1,Insecta,Aves,5,17,0.10638297872340426
47158son07,magant1,Insecta,Aves,5,5,0.10416666666666667
47158son07,purjay1,Insecta,Aves,5,5,0.10416666666666667
47158son08,whtdov,Insecta,Aves,5,17,0.06666666666666667
24321,47158son11,Amphibia,Insecta,5,36,0.024630541871921183
24321,47158son13,Amphibia,Insecta,5,36,0.024630541871921183
24321,326272,Amphibia,Amphibia,5,23,0.02631578947368421
1491113,undtin1,Amphibia,Aves,5,43,0.042735042735042736
22967,47158son12,Amphibia,Insecta,5,5,0.03225806451612903
24321,47158son24,Amphibia,Insecta,5,24,0.02617801047120419
24321,25073,Amphibia,Amphibia,5,12,0.027932960893854747
1491113,whtdov,Amphibia,Aves,5,63,0.0364963503649635
chvcon1,purjay1,Aves,Aves,5,5,0.14285714285714285
116570,chacha1,Reptilia,Aves,5,13,0.0684931506849315
1491113,24279,Amphibia,Amphibia,5,79,0.020242914979757085
116570,47158son10,Reptilia,Insecta,4,13,0.09523809523809523
116570,47158son18,Reptilia,Insecta,4,12,0.19047619047619047
555146,nacnig1,Amphibia,Aves,4,11,0.018433179723502304
47158son04,47158son13,Insecta,Insecta,4,17,0.08163265306122448
47158son03,rufhor2,Insecta,Aves,4,4,0.12121212121212122
47158son08,47158son19,Insecta,Insecta,4,5,0.2222222222222222
47158son11,47158son19,Insecta,Insecta,4,5,0.10810810810810811
47158son10,rufhor2,Insecta,Aves,4,4,0.12121212121212122
326272,47158son04,Amphibia,Insecta,4,17,0.1111111111111111
47158son06,bafcur1,Insecta,Aves,4,9,0.17391304347826086
24321,67107,Amphibia,Amphibia,4,9,0.022598870056497175
25073,47158son04,Amphibia,Insecta,4,12,0.16
hyamac1,whtdov,Aves,Aves,4,10,0.057971014492753624
47158son19,47158son20,Insecta,Insecta,4,5,0.3076923076923077
47158son25,rufhor2,Insecta,Aves,4,4,0.047619047619047616
47144,nacnig1,Mammalia,Aves,4,11,0.18181818181818182
47158son19,47158son25,Insecta,Insecta,4,5,0.047058823529411764
chacha1,magant1,Aves,Aves,4,5,0.06060606060606061
23158,65377,Amphibia,Amphibia,4,9,0.022222222222222223
555146,compau,Amphibia,Aves,4,38,0.01639344262295082
chacha1,purjay1,Aves,Aves,4,5,0.06060606060606061
rufhor2,whtdov,Aves,Aves,4,4,0.06349206349206349
555146,litnig1,Amphibia,Aves,4,37,0.01646090534979424
chacha1,rufhor2,Aves,Aves,4,4,0.06153846153846154
47158son12,517063,Insecta,Amphibia,3,5,0.009523809523809525
22973,chacha1,Amphibia,Aves,3,65,0.01090909090909091
47144,compot1,Mammalia,Aves,3,3,0.2
22967,chacha1,Amphibia,Aves,3,65,0.013824884792626729
24321,47158son04,Amphibia,Insecta,3,17,0.016129032258064516
47158son09,517063,Insecta,Amphibia,3,6,0.00949367088607595
47158son07,fusfly1,Insecta,Aves,3,3,0.0625
47158son04,67107,Insecta,Amphibia,3,9,0.13043478260869565
47158son08,undtin1,Insecta,Aves,3,17,0.05263157894736842
47158son07,limpki,Insecta,Aves,3,3,0.0625
47158son05,47158son13,Insecta,Insecta,3,3,0.08333333333333333
116570,47158son22,Reptilia,Insecta,3,13,0.08823529411764706
116570,47158son21,Reptilia,Insecta,3,13,0.09375
66971,whtdov,Amphibia,Aves,3,63,0.014354066985645933
chvcon1,limpki,Aves,Aves,3,3,0.08571428571428572
chvcon1,orwpar,Aves,Aves,3,13,0.06666666666666667
1491113,47144,Amphibia,Mammalia,3,15,0.03296703296703297
chvcon1,magant1,Aves,Aves,3,5,0.08108108108108109
116570,47158son23,Reptilia,Insecta,3,13,0.08823529411764706
116570,47158son13,Reptilia,Insecta,3,13,0.06521739130434782
litnig1,trsowl,Aves,Aves,3,26,0.05
limpki,whtdov,Aves,Aves,3,3,0.047619047619047616
fusfly1,whtdov,Aves,Aves,3,3,0.047619047619047616
47144,517063,Mammalia,Amphibia,3,15,0.009230769230769232
517063,nacnig1,Amphibia,Aves,3,11,0.009345794392523364
chacha1,fusfly1,Aves,Aves,3,3,0.046153846153846156
redjun,undtin1,Aves,Aves,3,12,0.057692307692307696
517063,67252,Amphibia,Amphibia,2,2,0.006389776357827476
47144,65380,Mammalia,Amphibia,2,15,0.005780346820809248
47158son16,chacha1,Insecta,Aves,2,12,0.02666666666666667
47144,555146,Mammalia,Amphibia,2,15,0.008968609865470852
47158son15,chacha1,Insecta,Aves,2,12,0.02666666666666667
litnig1,strher2,Aves,Aves,2,2,0.05405405405405406
fusfly1,orwpar,Aves,Aves,2,3,0.14285714285714285
nacnig1,strher2,Aves,Aves,2,2,0.18181818181818182
47158son05,47158son11,Insecta,Insecta,2,3,0.05405405405405406
22973,74113,Amphibia,Mammalia,2,2,0.009389671361502348
22973,67252,Amphibia,Amphibia,2,2,0.009389671361502348
22973,47158son05,Amphibia,Insecta,2,3,0.009345794392523364
22967,compot1,Amphibia,Aves,2,3,0.01282051282051282
23158,hyamac1,Amphibia,Aves,2,10,0.01092896174863388
1491113,67252,Amphibia,Amphibia,2,2,0.02531645569620253
65380,67252,Amphibia,Amphibia,2,2,0.006006006006006006
22967,67252,Amphibia,Amphibia,2,2,0.012903225806451613
compau,compot1,Aves,Aves,2,3,0.05128205128205128
116570,47158son15,Reptilia,Insecta,2,12,0.08695652173913043
116570,47158son16,Reptilia,Insecta,2,12,0.08695652173913043
65380,bunibi1,Amphibia,Aves,2,2,0.006006006006006006
66971,trsowl,Amphibia,Aves,2,26,0.011560693641618497
47158son05,47158son24,Insecta,Insecta,2,3,0.08
555146,undtin1,Amphibia,Aves,2,43,0.00796812749003984
555146,trsowl,Amphibia,Aves,2,26,0.008547008547008548
chacha1,undtin1,Aves,Aves,2,43,0.018867924528301886
chacha1,trsowl,Aves,Aves,2,26,0.02247191011235955
chacha1,litnig1,Aves,Aves,2,37,0.02
74113,litnig1,Mammalia,Aves,2,2,0.05405405405405406
bufpar,chacha1,Aves,Aves,2,14,0.025974025974025976
purjay1,undtin1,Aves,Aves,2,5,0.043478260869565216
bufpar,chvcon1,Aves,Aves,2,14,0.0425531914893617
22967,74113,Amphibia,Mammalia,2,2,0.012903225806451613
23158,whtdov,Amphibia,Aves,2,63,0.00847457627118644
24279,67252,Amphibia,Amphibia,2,2,0.011560693641618497
116570,47158son06,Reptilia,Insecta,2,13,0.06896551724137931
517063,65377,Amphibia,Amphibia,2,9,0.00625
517063,chacha1,Amphibia,Aves,2,65,0.005319148936170213
24279,compau,Amphibia,Aves,2,38,0.009569377990430622
22967,strher2,Amphibia,Aves,2,2,0.012903225806451613
24279,trsowl,Amphibia,Aves,2,26,0.01015228426395939
25092,555146,Amphibia,Amphibia,2,24,0.008620689655172414
47158son07,bufpar,Insecta,Aves,2,14,0.03333333333333333
47158son09,47158son12,Insecta,Insecta,2,5,0.2222222222222222
24279,47144,Amphibia,Mammalia,2,15,0.010752688172043012
47158son05,67107,Insecta,Amphibia,2,3,0.2
23158,bufpar,Amphibia,Aves,2,14,0.0106951871657754
22973,strher2,Amphibia,Aves,2,2,0.009389671361502348
22973,bunibi1,Amphibia,Aves,2,2,0.009389671361502348
25073,47158son05,Amphibia,Insecta,2,3,0.15384615384615385
326272,47158son05,Amphibia,Insecta,2,3,0.08333333333333333
116570,47158son11,Reptilia,Insecta,1,13,0.020833333333333332
116570,47158son08,Reptilia,Insecta,1,13,0.034482758620689655
116570,47158son19,Reptilia,Insecta,1,5,0.058823529411764705
116570,47158son14,Reptilia,Insecta,1,12,0.041666666666666664
116570,47158son20,Reptilia,Insecta,1,12,0.041666666666666664
555146,strher2,Amphibia,Aves,1,2,0.004739336492890996
47158son05,47158son25,Insecta,Insecta,1,3,0.011627906976744186
47158son05,47158son23,Insecta,Insecta,1,3,0.038461538461538464
47158son05,47158son22,Insecta,Insecta,1,3,0.038461538461538464
47158son05,47158son21,Insecta,Insecta,1,3,0.041666666666666664
67252,trsowl,Amphibia,Aves,1,2,0.037037037037037035
47158son05,47158son17,Insecta,Insecta,1,3,0.022222222222222223
67107,compau,Amphibia,Aves,1,9,0.021739130434782608
1491113,sibtan2,Amphibia,Aves,1,1,0.012658227848101266
22967,47158son04,Amphibia,Insecta,1,17,0.005847953216374269
1491113,compot1,Amphibia,Aves,1,3,0.012345679012345678
116570,bafcur1,Reptilia,Aves,1,9,0.047619047619047616
1491113,555146,Amphibia,Amphibia,1,79,0.003472222222222222
compau,trsowl,Aves,Aves,1,26,0.015873015873015872
compau,strher2,Aves,Aves,1,2,0.02564102564102564
chvcon1,ruther1,Aves,Aves,1,1,0.02857142857142857
47158son04,wfwduc1,Insecta,Aves,1,1,0.058823529411764705
47158son08,ruther1,Insecta,Aves,1,1,0.058823529411764705
24279,undtin1,Amphibia,Aves,1,43,0.004651162790697674
24321,47158son05,Amphibia,Insecta,1,3,0.005747126436781609
25073,compau,Amphibia,Aves,1,12,0.02040816326530612
47158son06,wfwduc1,Insecta,Aves,1,1,0.05555555555555555
47158son07,ruther1,Insecta,Aves,1,1,0.020833333333333332
47158son04,47158son05,Insecta,Insecta,1,3,0.05263157894736842
47158son04,47158son09,Insecta,Insecta,1,6,0.045454545454545456
47158son05,47158son10,Insecta,Insecta,1,3,0.02857142857142857
47158son08,magant1,Insecta,Aves,1,5,0.047619047619047616
47158son08,limpki,Insecta,Aves,1,3,0.05263157894736842
47158son07,rutjac1,Insecta,Aves,1,1,0.020833333333333332
47158son10,47158son14,Insecta,Insecta,1,12,0.022727272727272728
47158son10,wfwduc1,Insecta,Aves,1,1,0.030303030303030304
47158son11,compau,Insecta,Aves,1,36,0.0136986301369863
47158son03,47158son19,Insecta,Insecta,1,5,0.02702702702702703
fusfly1,magant1,Aves,Aves,1,3,0.14285714285714285
compot1,undtin1,Aves,Aves,1,3,0.022222222222222223
22973,47158son12,Amphibia,Insecta,1,5,0.004608294930875576
24279,compot1,Amphibia,Aves,1,3,0.005714285714285714
23158,undtin1,Amphibia,Aves,1,43,0.004608294930875576
47158son13,compau,Insecta,Aves,1,36,0.0136986301369863
47144,74113,Mammalia,Mammalia,1,2,0.0625
47158son18,47158son19,Insecta,Insecta,1,5,0.0625
limpki,ruther1,Aves,Aves,1,1,0.3333333333333333
limpki,undtin1,Aves,Aves,1,3,0.022222222222222223
fusfly1,undtin1,Aves,Aves,1,3,0.022222222222222223
magant1,orwpar,Aves,Aves,1,5,0.058823529411764705
magant1,undtin1,Aves,Aves,1,5,0.02127659574468085
326272,517063,Amphibia,Amphibia,1,23,0.0029850746268656717
326272,compau,Amphibia,Aves,1,23,0.016666666666666666
43435,47158son10,Mammalia,Insecta,1,12,0.022727272727272728
516975,thlwre1,Mammalia,Aves,1,2,0.07142857142857142
47158son25,wfwduc1,Insecta,Aves,1,1,0.011904761904761904
47158son24,compau,Insecta,Aves,1,24,0.01639344262295082
bufpar,sibtan2,Aves,Aves,1,1,0.07142857142857142
517063,74113,Amphibia,Mammalia,1,2,0.0031847133757961785
517063,compot1,Amphibia,Aves,1,3,0.0031746031746031746
74113,compau,Mammalia,Aves,1,2,0.02564102564102564
74113,nacnig1,Mammalia,Aves,1,2,0.08333333333333333
116570,47158son05,Reptilia,Insecta,1,3,0.06666666666666667
116570,47158son04,Reptilia,Insecta,1,13,0.034482758620689655
ruther1,undtin1,Aves,Aves,1,1,0.023255813953488372
ruther1,whtdov,Aves,Aves,1,1,0.015873015873015872
rutjac1,undtin1,Aves,Aves,1,1,0.023255813953488372
rutjac1,whtdov,Aves,Aves,1,1,0.015873015873015872
116570,47158son01,Reptilia,Insecta,1,13,0.02857142857142857
116570,43435,Reptilia,Mammalia,1,12,0.041666666666666664
