slug,ref,filename,n_cells,n_code_cells,n_md_cells,n_md_chars,n_code_chars,first_md,config_lb_max,config_lb_list,n_config_lb,lb_prefix_max,n_lb_prefix,bare_score_max,bare_score_min,n_bare_scores,best_score,feat__uses_perch,feat__uses_perch_v2,feat__uses_birdnet,feat__uses_sed,feat__uses_protossm,feat__uses_residual_ssm,feat__uses_efficientnet,feat__uses_hgnet,feat__uses_convnext,feat__uses_resnet,feat__uses_passt,feat__uses_beats,feat__uses_mae,feat__uses_tucker,feat__uses_mlp_probes,feat__uses_train_audio,feat__aug_mixup,feat__aug_cutmix,feat__aug_specaugment,feat__aug_time_shift,feat__aug_flip,feat__aug_clipping,feat__aug_gain,feat__loss_focal,feat__loss_bce,feat__loss_softauc,feat__ssl_pseudo,feat__ssl_iterative,feat__tweak_A_per_class,feat__tweak_C_residual,feat__tweak_D_hour_smooth,feat__tweak_E_wide_mlp,feat__tweak_F_flip_tta,feat__tweak_G_birdnet_weight,feat__sonotype_mirror,feat__site_hour_prior,feat__rank_aware,feat__file_confidence,feat__adaptive_delta,feat__uses_onnx,feat__uses_torch,feat__uses_tf,feat__val_groupkfold,feat__val_stratified,feat__ext_data,n_fork_refs,fork_refs,num__n_windows,num__window_sec,num__lambda_prior,num__rank_power,num__file_conf_power,num__alpha_blend,num__correction_weight,num__lambda_in_apply_prior,num__ensemble_w_mapped,title_score,num__n_classes,author_lb_best,author_lb_rank,totalVotes,lastRunTime,score,bucket
alexandergremyakov__efficientnet-b0-submission,alexandergremyakov/efficientnet-b0-submission,efficientnet-b0-submission.ipynb,11,10.0,1.0,3.0,8515,---,,,0,,0,,,0,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.95,43.0,7,2026-04-08 05:22:25.213000,0.95,4.elite_0.948-0.955
alexycactus__birdclef-2026-alpha-sweep-06,alexycactus/birdclef-2026-alpha-sweep-06,birdclef-2026-alpha-sweep-06.py,0,,,,26276,,,,0,0.879,1,0.879,0.879,1,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.897,2295.0,4,2026-05-10 12:55:04.310000,0.879,0.weak_<0.900
alexycactus__birdclef-2026-cnn-efficientnet-b0,alexycactus/birdclef-2026-cnn-efficientnet-b0,birdclef-2026-cnn-efficientnet-b0.py,0,,,,23108,,,,0,,0,0.883,0.883,1,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.897,2295.0,3,2026-05-12 06:59:54.767000,0.897,0.weak_<0.900
alexycactus__birdclef-2026-cnn-inference-b0,alexycactus/birdclef-2026-cnn-inference-b0,birdclef-2026-cnn-inference-b0.py,0,,,,10713,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.897,2295.0,5,2026-05-14 11:35:31.760000,0.897,0.weak_<0.900
alexycactus__didactic-01-eda,alexycactus/didactic-01-eda,didactic-01-eda.ipynb,20,11.0,9.0,2643.0,13530,"# BirdCLEF 2026 — Complete EDA 🦜🐸🐆
#
This notebook explores the **BirdCLEF+ 2026** dataset — the most ecologically
diverse acoustic monitoring competition yet. We're not just identifying birds:
our models must recognise **234 species** across 5 biological classes recorded
by ~1,000 passive acoustic monitors in the **Pantanal wetlands**, Brazil.
#
**What we'll uncover:**
1. The multi-taxa surprise ",,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,,,,,,,,,,,,,0.897,2295.0,6,2026-03-12 13:01:56.027000,0.897,0.weak_<0.900
alexycactus__didactic-02-spectrogram-guide,alexycactus/didactic-02-spectrogram-guide,didactic-02-spectrogram-guide.ipynb,15,8.0,7.0,3132.0,12681,"# Mel Spectrograms for Wildlife Audio 🎵
#
Every top solution in BirdCLEF converts audio → **mel spectrogram image** and
then runs a vision CNN. This notebook is your complete visual guide:
from raw waveform to competition-ready spectrogram.
#
**What you'll learn:**
1. How the waveform → STFT → mel filterbank → log-compression pipeline works
2. What spectrograms look like across the 5 biological cl",,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,,,,,,,,,,,,,0.897,2295.0,5,2026-03-12 13:03:30.727000,0.897,0.weak_<0.900
alexycactus__didactic-03-baseline-efficientnet,alexycactus/didactic-03-baseline-efficientnet,didactic-03-baseline-efficientnet.ipynb,13,12.0,1.0,95.0,15648,"# EfficientNet-B0 Baseline 🚀
A complete training + inference pipeline. Every step is commented.",,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,0.0,,,,,,,,,,,,,0.897,2295.0,5,2026-04-19 11:04:45.090000,0.897,0.weak_<0.900
alexycactus__didactic-04-augmentation,alexycactus/didactic-04-augmentation,didactic-04-augmentation.ipynb,27,14.0,13.0,8505.0,28369,"# Audio Augmentation Guide for BirdCLEF 2026 🎵
#
**Why augmentation matters, what each technique does, and how to implement it**
#
Every top BirdCLEF solution relies heavily on augmentation — not as a
minor regularisation trick, but as a core part of closing the gap between
studio-quality Xeno-canto clips and raw Pantanal field recordings.
#
**What you'll learn:**
1. The domain gap problem (XC rec",,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.897,2295.0,10,2026-03-12 15:48:17.710000,0.897,0.weak_<0.900
aliozanmemetoglu__birdclef-5-fold-ensemble-submission,aliozanmemetoglu/birdclef-5-fold-ensemble-submission,birdclef-5-fold-ensemble-submission.ipynb,1,1.0,0.0,0.0,13927,,,,0,,0,,,0,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.958,4.0,13,2026-03-18 21:52:32.477000,0.958,5.top_0.955+
aliozanmemetoglu__birdclef-enb0-coarse-ensemble-submission,aliozanmemetoglu/birdclef-enb0-coarse-ensemble-submission,birdclef-enb0-coarse-ensemble-submission.ipynb,1,1.0,0.0,0.0,13941,,,,0,,0,,,0,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.958,4.0,60,2026-03-18 22:46:10.850000,0.958,5.top_0.955+
amanatar__birdclef-2026,amanatar/birdclef-2026,birdclef-2026.ipynb,1,1.0,0.0,0.0,8300,,,,0,,0,,,0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,,,,,,,,,,,,,0.948,306.0,4,2026-03-13 16:38:44.723000,0.948,4.elite_0.948-0.955
amanatar__birdclef26-taxon-fusion-pro,amanatar/birdclef26-taxon-fusion-pro,birdclef26-taxon-fusion-pro.ipynb,41,29.0,12.0,6238.0,84121,"# BirdCLEF 2026: Advanced Semi-Supervised Pipeline

## Improvements Included:

1. **Multi-Iterative Noisy Student Cycle**: Placeholders for pseudo-labeling and training student models.
2. **20-Second Context Windows**: 20-second chunks with 50% overlap (TTA) to capture long, repetitive temporal patterns.
3. **Second-Pass Residual Correction**: Code template for a ResidualSSM layer to correct syste",,,0,,0,0.941,0.941,1,0.941,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,0.4,0.4,0.4,0.3,0.4,,,,0.948,306.0,4,2026-05-11 10:09:13.967000,0.948,4.elite_0.948-0.955
ameythakur20__birdclef-2026-protossm-perch-inference-pipeline,ameythakur20/birdclef-2026-protossm-perch-inference-pipeline,birdclef-2026-protossm-perch-inference-pipeline.ipynb,21,10.0,11.0,5390.0,66793,"# BirdCLEF+ 2026: ProtoSSM v5 Maximum Ensemble

**Competition:** BirdCLEF+ 2026 — Cornell Lab of Ornithology, Kaggle 2026

**Notebook Focus:**
- Perch v2 deep embedding extraction with genus-level proxy scoring for unmapped Amphibia, Insecta, and Aves species
- ProtoSSMv5 bidirectional selective state-space model with temporal cross-attention and prototypical classification head
- Residual SSM sec",,,0,,0,,,0,,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,2.0,ameythakur20/birdclef-2026-tensorflow-2-20-setup|ameythakur20/kaggle-toolbox,,,,,,,,,,,,0.947,564.0,42,2026-04-06 00:46:58.967000,0.947,3.high_0.940-0.948
ameythakur20__birdclef-2026-tensorflow-2-20-setup,ameythakur20/birdclef-2026-tensorflow-2-20-setup,birdclef-2026-tensorflow-2-20-setup.ipynb,7,2.0,5.0,1995.0,556,"# BirdCLEF 2026: TensorFlow 2.20 Environment Setup

This notebook configures a **TensorFlow 2.20** environment for the BirdCLEF 2026 competition. It downloads the specific wheel dependencies for the Perch v2 model architectures and utility toolboxes.

- **Competition**: [BirdCLEF+ 2026](https://www.kaggle.com/competitions/birdclef-2026)
- **Inference Architecture**: [birdclef-2026-perch-v2-bayesia",,,0,,0,,,0,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,ameythakur20/birdclef-2026-perch-v2-bayesian-fusion,,,,,,,,,,,,0.947,564.0,10,2026-03-29 00:20:42.097000,0.947,3.high_0.940-0.948
aminmahmoudalifayed__birdclef-2026,aminmahmoudalifayed/birdclef-2026,birdclef-2026.ipynb,14,13.0,1.0,1578.0,47107,"<div style=""background: linear-gradient(135deg, #050510 0%, #0a0a2e 30%, #0d1a3e 60%, #071428 100%); padding: 70px 50px; border-radius: 24px; text-align: center;"">
  <div style=""font-size: 90px; margin-bottom: 5px;"">🦅</div>
  <h1 style=""color: #00d4ff; font-size: 3.2em; font-weight: 900; letter-spacing: 5px; margin: 5px 0;"">BirdCLEF+ 2026</h1>
  <h2 style=""color: #ffd700; font-size: 2em; font-weig",,,0,,0,0.95,0.82,33,0.95,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,,,,,,,,,,,,,0.5,3400.0,17,2026-05-08 19:25:35.043000,0.5,0.weak_<0.900
aminmahmoudalifayed__birdclef-2026-2027,aminmahmoudalifayed/birdclef-2026-2027,birdclef-2026-2027.ipynb,21,16.0,5.0,6419.0,61433,"<div style=""background: linear-gradient(135deg, #050510 0%, #0a0a2e 30%, #0d1a3e 60%, #071428 100%); padding: 70px 50px; border-radius: 24px; text-align: center; box-shadow: 0 0 80px rgba(0,150,255,0.25), inset 0 0 100px rgba(0,0,50,0.5);"">
  <div style=""font-size: 90px; margin-bottom: 5px; filter: drop-shadow(0 0 20px gold);"">🦅</div>
  <h1 style=""color: #00d4ff; font-size: 3.2em; font-weight: 900",,,0,,0,0.948,0.82,39,0.948,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,,,,,,,,,,,,,0.5,3400.0,7,2026-03-12 01:41:58.433000,0.5,0.weak_<0.900
amritanshukush__birdclef-2026-starter,amritanshukush/birdclef-2026-starter,birdclef-2026-starter.ipynb,18,10.0,8.0,2829.0,8039,"# <div style=""text-align:center; border-radius:15px; padding:15px; margin:0; font-size:100%; font-family: 'Arial Black', Arial, sans-serif; text-shadow: 2px 2px 5px rgba(0,0,0,0.7); background: linear-gradient(90deg,#2193b0, #6dd5ed, #24243e); overflow:hidden; box-shadow:0 2px 5px rgba(0, 0, 0, 0.3); color:white;""><b>BirdCLEF+ 2026 | Starter Model Inference and Predictions</b></div>",,,0,,0,,,0,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.493,3575.0,8,2026-03-12 13:01:29.723000,0.493,0.weak_<0.900
amritanshukush__birdclef-2026-trained-model,amritanshukush/birdclef-2026-trained-model,birdclef-2026-trained-model.ipynb,1,1.0,0.0,0.0,5726,,,,0,,0,,,0,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.493,3575.0,5,2026-03-12 08:39:17.533000,0.493,0.weak_<0.900
anthonytherrien__birdclef-2026-script,anthonytherrien/birdclef-2026-script,birdclef-2026-script.ipynb,1,1.0,0.0,0.0,20641,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.948,257.0,29,2026-03-16 12:19:09.487000,0.948,4.elite_0.948-0.955
anthonytherrien__birdclef-ensemble-of-solutions,anthonytherrien/birdclef-ensemble-of-solutions,birdclef-ensemble-of-solutions.ipynb,16,9.0,7.0,2422.0,272105,"### [BirdCLEF+ 2026](https://www.kaggle.com/competitions/birdclef-2026/code?competitionId=129329&sortBy=scoreDescending&excludeNonAccessedDatasources=true)

Acoustic Species Identification in the Pantanal, South America
   
| &nbsp;| &nbsp; | &nbsp; | &nbsp; | &nbsp; | &nbsp; | &nbsp; |
| - | :-: | :-: | :-: | :-: | :-: | :-: |
| [Model](#Model_1)_1 <br> [Model](#Model_2)_2 | [0.917](https://www.k",0.947,0.9470|0.9280,2,,0,0.974,0.917,5,0.947,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,5.0,hideyukizushi/bird26-reproduce-perch-protossm-resssm-inf-train|mtoshidesu/tedbirdclef-2026-improved|nikitababich/birdclef2025-1st-place-inference|nina2025/birdclef-2026-onnx-perch-proto-sed|tuckerarrants/bc2026-distilled-sed,12.0,5.0,0.4,0.5,0.4,0.4,0.3,0.4,,,,0.948,257.0,27,2026-05-16 14:03:04.543000,0.947,3.high_0.940-0.948
anthonytherrien__pantanal-distill-birdclef-2026-script,anthonytherrien/pantanal-distill-birdclef-2026-script,pantanal-distill-birdclef-2026-script.ipynb,2,2.0,0.0,0.0,109804,,,,0,,0,0.924,0.924,1,0.924,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,0.0,,12.0,5.0,,0.5,,,,,,,,0.948,257.0,20,2026-03-28 13:11:12.680000,0.948,4.elite_0.948-0.955
antoinemasq__birdclef-2026-annotation-tool-dash-app,antoinemasq/birdclef-2026-annotation-tool-dash-app,birdclef-2026-annotation-tool-dash-app.ipynb,3,1.0,2.0,13973.0,0,"
### Hi everyone,This is not really a notebook but a webapp to annotate or explore the data.


**How it works:**
- Change the PATH variable to the path of your BirdCLEF data.
- You can select a subset of the recording on the plot to listen and visualize specific parts.
- To add an annotation, simply select the subset that you want to annotate and then select a tag.
- You can also flag your annotat",,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.948,274.0,11,2026-03-12 08:00:29.587000,0.948,4.elite_0.948-0.955
antoinemasq__birdclef-2026-pytorch-baseline-inference,antoinemasq/birdclef-2026-pytorch-baseline-inference,birdclef-2026-pytorch-baseline-inference.ipynb,16,16.0,0.0,0.0,7189,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.948,274.0,184,2026-03-11 21:44:51.713000,0.948,4.elite_0.948-0.955
antoinemasq__birdclef-2026-pytorch-baseline-training,antoinemasq/birdclef-2026-pytorch-baseline-training,birdclef-2026-pytorch-baseline-training.ipynb,12,12.0,0.0,0.0,14585,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,,,,,,,,,,,,,0.948,274.0,149,2026-03-12 06:33:22.217000,0.948,4.elite_0.948-0.955
ashok205__birdclef-2026,ashok205/birdclef-2026,birdclef-2026.ipynb,27,27.0,0.0,0.0,72971,,,,0,,0,,,0,,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,0.0,,12.0,5.0,0.4,0.4,0.4,0.4,0.3,0.4,,,,0.949,109.0,60,2026-05-02 08:26:28.107000,0.949,4.elite_0.948-0.955
ashok205__pantanal-distill-birdclef2026,ashok205/pantanal-distill-birdclef2026,pantanal-distill-birdclef2026.ipynb,44,24.0,20.0,2923.0,89673,"## Setup
Install dependencies and configure environment.",,,0,,0,0.913,0.913,1,0.913,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,0.0,,12.0,5.0,,,,,,,,,,0.949,109.0,80,2026-03-24 09:57:40.190000,0.949,4.elite_0.948-0.955
avikdas567__birdclef-2026-mel-spectrogram-cnn-soundscapes,avikdas567/birdclef-2026-mel-spectrogram-cnn-soundscapes,birdclef-2026-mel-spectrogram-cnn-soundscapes.ipynb,1,1.0,0.0,0.0,6600,,,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,,0.592,3268.0,21,2026-03-12 07:06:31.037000,0.592,0.weak_<0.900
