labeled,labeled_idx,site,date,time,n_close_twins_5min,twin_indices,twin_filenames
BC2026_Train_0007_S09_20250829_000000.ogg,7,S09,20250829,000000,0,[],[]
BC2026_Train_0029_S22_20211211_023000.ogg,29,S22,20211211,023000,0,[],[]
BC2026_Train_0003_S08_20250607_070007.ogg,3,S08,20250607,070007,2,"[4, 5]","['BC2026_Train_0005_S08_20250607_070007.ogg', 'BC2026_Train_0004_S08_20250607_070007.ogg']"
BC2026_Train_0019_S22_20211104_200000.ogg,19,S22,20211104,200000,0,[],[]
BC2026_Train_0050_S22_20220205_214500.ogg,50,S22,20220205,214500,0,[],[]
BC2026_Train_0045_S22_20220125_211500.ogg,45,S22,20220125,211500,0,[],[]
BC2026_Train_0020_S22_20211104_231500.ogg,20,S22,20211104,231500,0,[],[]
BC2026_Train_0021_S22_20211106_023000.ogg,21,S22,20211106,023000,0,[],[]
BC2026_Train_0046_S22_20220127_230000.ogg,46,S22,20220127,230000,0,[],[]
BC2026_Train_0044_S22_20220124_023000.ogg,44,S22,20220124,023000,0,[],[]
BC2026_Train_0043_S22_20220112_040000.ogg,43,S22,20220112,040000,0,[],[]
BC2026_Train_0018_S22_20211028_234500.ogg,18,S22,20211028,234500,0,[],[]
BC2026_Train_0001_S08_20250606_030007.ogg,1,S08,20250606,030007,0,[],[]
BC2026_Train_0014_S13_20220228_214500.ogg,14,S13,20220228,214500,0,[],[]
BC2026_Train_0024_S22_20211123_004500.ogg,24,S22,20211123,004500,0,[],[]
BC2026_Train_0032_S22_20211215_221500.ogg,32,S22,20211215,221500,0,[],[]
BC2026_Train_0025_S22_20211127_024500.ogg,25,S22,20211127,024500,0,[],[]
BC2026_Train_0016_S18_20220204_221500.ogg,16,S18,20220204,221500,0,[],[]
BC2026_Train_0017_S22_20211026_233000.ogg,17,S22,20211026,233000,0,[],[]
BC2026_Train_0030_S22_20211212_224500.ogg,30,S22,20211212,224500,0,[],[]
BC2026_Train_0064_S23_20241124_032002.ogg,64,S23,20241124,032002,0,[],[]
BC2026_Train_0055_S22_20220219_200000.ogg,55,S22,20220219,200000,0,[],[]
BC2026_Train_0057_S15_20250617_060000.ogg,57,S15,20250617,060000,2,"[58, 59]","['BC2026_Train_0058_S15_20250617_060100.ogg', 'BC2026_Train_0059_S15_20250617_060200.ogg']"
BC2026_Train_0008_S09_20250831_000000.ogg,8,S09,20250831,000000,0,[],[]
BC2026_Train_0012_S03_20220211_233000.ogg,12,S03,20220211,233000,0,[],[]
BC2026_Train_0034_S22_20211222_013000.ogg,34,S22,20211222,013000,0,[],[]
BC2026_Train_0047_S22_20220131_003000.ogg,47,S22,20220131,003000,0,[],[]
BC2026_Train_0065_S23_20241124_040002.ogg,65,S23,20241124,040002,0,[],[]
BC2026_Train_0049_S22_20220203_221500.ogg,49,S22,20220203,221500,0,[],[]
BC2026_Train_0037_S22_20211226_021500.ogg,37,S22,20211226,021500,0,[],[]
BC2026_Train_0027_S22_20211129_014500.ogg,27,S22,20211129,014500,0,[],[]
BC2026_Train_0035_S22_20211223_213000.ogg,35,S22,20211223,213000,0,[],[]
BC2026_Train_0010_S09_20250828_000000.ogg,10,S09,20250828,000000,2,"[6, 9]","['BC2026_Train_0006_S09_20250828_000000.ogg', 'BC2026_Train_0009_S09_20250828_000000.ogg']"
BC2026_Train_0026_S22_20211128_004500.ogg,26,S22,20211128,004500,0,[],[]
BC2026_Train_0056_S22_20220221_214500.ogg,56,S22,20220221,214500,0,[],[]
BC2026_Train_0053_S22_20220211_204500.ogg,53,S22,20220211,204500,0,[],[]
BC2026_Train_0022_S22_20211114_014500.ogg,22,S22,20211114,014500,0,[],[]
BC2026_Train_0039_S22_20211231_201500.ogg,39,S22,20211231,201500,0,[],[]
BC2026_Train_0009_S09_20250828_000000.ogg,9,S09,20250828,000000,2,"[6, 10]","['BC2026_Train_0006_S09_20250828_000000.ogg', 'BC2026_Train_0010_S09_20250828_000000.ogg']"
BC2026_Train_0059_S15_20250617_060200.ogg,59,S15,20250617,060200,2,"[57, 58]","['BC2026_Train_0058_S15_20250617_060100.ogg', 'BC2026_Train_0057_S15_20250617_060000.ogg']"
BC2026_Train_0063_S19_20241214_190000.ogg,63,S19,20241214,190000,3,"[10586, 10624, 10625]","['BC2026_Train_10625_S19_20241214_190000.ogg', 'BC2026_Train_10624_S19_20241214_190000.ogg', 'BC2026_Train_10586_S19_20241214_190000.ogg']"
BC2026_Train_0061_S19_20250418_210000.ogg,61,S19,20250418,210000,1,[10574],['BC2026_Train_10574_S19_20250418_210000.ogg']
BC2026_Train_0048_S22_20220131_180000.ogg,48,S22,20220131,180000,0,[],[]
BC2026_Train_0004_S08_20250607_070007.ogg,4,S08,20250607,070007,2,"[3, 5]","['BC2026_Train_0005_S08_20250607_070007.ogg', 'BC2026_Train_0003_S08_20250607_070007.ogg']"
BC2026_Train_0066_S23_20241124_044002.ogg,66,S23,20241124,044002,0,[],[]
BC2026_Train_0038_S22_20211228_220000.ogg,38,S22,20211228,220000,0,[],[]
BC2026_Train_0015_S18_20211016_011500.ogg,15,S18,20211016,011500,0,[],[]
BC2026_Train_0040_S22_20220101_014500.ogg,40,S22,20220101,014500,0,[],[]
BC2026_Train_0051_S22_20220208_231500.ogg,51,S22,20220208,231500,0,[],[]
BC2026_Train_0033_S22_20211216_200000.ogg,33,S22,20211216,200000,0,[],[]
