train_audio,class,best_match_ss,n_shared,ta_total,share_pct
iNat145251.ogg,67107,BC2026_Train_0246_S09_20250816_000000.ogg,7,175,4.0
XC929104.ogg,67252,BC2026_Train_10444_S14_20250606_063900.ogg,7,200,3.5000000000000004
iNat261953.ogg,70711,BC2026_Train_5822_S13_20221101_040000.ogg,14,198,7.07070707070707
iNat507314.ogg,738183,BC2026_Train_2284_S01_20240216_181500.ogg,14,197,7.1065989847715745
XC1067103.ogg,74113,BC2026_Train_6069_S13_20230105_183000.ogg,11,198,5.555555555555555
iNat717618.ogg,74580,BC2026_Train_0079_S04_20241201_040008.ogg,8,198,4.040404040404041
iNat792679.ogg,760266,BC2026_Train_7783_S22_20220202_203000.ogg,5,199,2.512562814070352
XC516434.ogg,ashgre1,BC2026_Train_5226_S13_20211025_203000.ogg,15,195,7.6923076923076925
iNat869765.ogg,astcra1,BC2026_Train_10186_S22_20240316_020000.ogg,12,200,6.0
XC402823.ogg,bafcur1,BC2026_Train_6732_S13_20231125_211500.ogg,16,197,8.121827411167512
XC486890.ogg,baffal1,BC2026_Train_7234_S22_20211023_233000.ogg,14,197,7.1065989847715745
XC33682.ogg,banana,BC2026_Train_0226_S10_20251128_103307.ogg,18,198,9.090909090909092
iNat357633.ogg,barant1,BC2026_Train_7814_S22_20220208_194500.ogg,13,199,6.532663316582915
iNat1260589.ogg,batbel1,BC2026_Train_0092_S05_20250227_170004.ogg,14,192,7.291666666666667
XC174023.ogg,baymac,BC2026_Train_10442_S14_20250606_063700.ogg,12,199,6.030150753768844
iNat1235273.ogg,bbwduc,BC2026_Train_10581_S19_20241213_210000.ogg,8,200,4.0
XC627064.ogg,bcwfin2,BC2026_Train_3360_S02_20220328_023000.ogg,22,198,11.11111111111111
XC113870.ogg,bkcdon,BC2026_Train_3720_S02_20221029_011500.ogg,15,199,7.537688442211055
iNat396175.ogg,bkhpar,BC2026_Train_4443_S02_20231106_040000.ogg,10,200,5.0
XC640704.ogg,blchaw1,BC2026_Train_8660_S22_20221219_224500.ogg,11,193,5.699481865284974
iNat1254442.ogg,blheag1,BC2026_Train_0007_S09_20250829_000000.ogg,11,200,5.5
XC320644.ogg,blttit1,BC2026_Train_3900_S02_20221215_180000.ogg,9,197,4.568527918781726
XC319087.ogg,bncfly,BC2026_Train_7620_S22_20220103_190000.ogg,18,199,9.045226130653267
XC499722.ogg,bobfly1,BC2026_Train_7955_S22_20220306_004500.ogg,10,200,5.0
XC921856.ogg,brcmar1,BC2026_Train_7099_S22_20210927_013000.ogg,17,199,8.542713567839195
iNat1015795.ogg,brnowl,BC2026_Train_0009_S09_20250828_000000.ogg,18,200,9.0
XC422347.ogg,bucmot4,BC2026_Train_8720_S22_20221230_220000.ogg,17,200,8.5
iNat1358564.ogg,bucpar,BC2026_Train_7181_S22_20211014_193000.ogg,9,200,4.5
XC84833.ogg,bufpar,BC2026_Train_10480_S15_20250617_065200.ogg,6,194,3.0927835051546393
iNat348146.ogg,bunibi1,BC2026_Train_10482_S15_20250617_065400.ogg,12,199,6.030150753768844
iNat753600.ogg,burowl,BC2026_Train_0214_S10_20251128_103307.ogg,11,198,5.555555555555555
XC824844.ogg,camfli1,BC2026_Train_7211_S22_20211020_031500.ogg,9,199,4.522613065326634
XC778344.ogg,chacha1,BC2026_Train_5758_S13_20221014_180000.ogg,15,197,7.614213197969544
iNat305992.ogg,chbmoc1,BC2026_Train_5158_S13_20211005_210000.ogg,9,200,4.5
XC470823.ogg,chobla1,BC2026_Train_6948_S13_20240122_230000.ogg,15,198,7.575757575757576
XC73449.ogg,chvcon1,BC2026_Train_0219_S10_20251128_103307.ogg,28,194,14.432989690721648
XC195192.ogg,cibspi1,BC2026_Train_0222_S10_20251128_103307.ogg,16,197,8.121827411167512
XC544486.ogg,coffal1,BC2026_Train_4623_S02_20231227_180000.ogg,5,196,2.5510204081632653
iNat1027618.ogg,compau,BC2026_Train_1866_S01_20231114_213000.ogg,7,198,3.535353535353535
iNat1214068.ogg,compot1,BC2026_Train_5608_S13_20220902_014500.ogg,16,196,8.16326530612245
XC422966.ogg,crbthr1,BC2026_Train_10524_S16_20241222_010000.ogg,15,197,7.614213197969544
XC538935.ogg,crebec1,BC2026_Train_8761_S22_20230106_224500.ogg,12,199,6.030150753768844
XC156576.ogg,dwatin1,BC2026_Train_0199_S10_20251128_103307.ogg,10,200,5.0
iNat518758.ogg,epaori4,BC2026_Train_0207_S10_20251128_103307.ogg,22,185,11.891891891891893
iNat308132.ogg,eulfly1,BC2026_Train_6863_S13_20240101_001500.ogg,12,200,6.0
XC495829.ogg,fabwre1,BC2026_Train_10630_S19_20241011_173000.ogg,8,200,4.0
iNat1220204.ogg,fepowl,BC2026_Train_10442_S14_20250606_063700.ogg,15,192,7.8125
XC400210.ogg,ficman1,BC2026_Train_10495_S15_20250909_064800.ogg,16,198,8.080808080808081
XC427634.ogg,flawar1,BC2026_Train_10484_S15_20250617_065600.ogg,12,199,6.030150753768844
XC467168.ogg,fotfly,BC2026_Train_5994_S13_20221218_191500.ogg,12,199,6.030150753768844
XC679861.ogg,fusfly1,BC2026_Train_10504_S15_20251003_065700.ogg,14,200,7.000000000000001
XC823570.ogg,gilhum1,BC2026_Train_9860_S22_20240124_003000.ogg,15,200,7.5
XC148968.ogg,glteme1,BC2026_Train_6738_S13_20231126_231500.ogg,10,199,5.025125628140704
iNat844485.ogg,grasal3,BC2026_Train_10149_S22_20240310_184500.ogg,16,198,8.080808080808081
XC132190.ogg,greani1,BC2026_Train_3341_S02_20220323_194500.ogg,14,198,7.07070707070707
iNat848324.ogg,greant1,BC2026_Train_9471_S22_20231112_190000.ogg,13,197,6.598984771573605
XC775162.ogg,greela,BC2026_Train_0249_S09_20250816_000000.ogg,15,194,7.731958762886598
iNat1429873.ogg,grekis,BC2026_Train_7397_S22_20211124_001500.ogg,9,198,4.545454545454546
XC206942.ogg,grepot1,BC2026_Train_0074_S04_20240810_080005.ogg,10,195,5.128205128205128
XC605330.ogg,gretho2,BC2026_Train_4712_S02_20240118_231500.ogg,12,199,6.030150753768844
iNat179889.ogg,greyel,BC2026_Train_10436_S14_20250606_063100.ogg,14,198,7.07070707070707
XC146313.ogg,grfdov1,BC2026_Train_0061_S19_20250418_210000.ogg,10,200,5.0
XC619310.ogg,grhtan1,BC2026_Train_5619_S13_20220904_181500.ogg,18,195,9.230769230769232
iNat1231408.ogg,gycwor1,BC2026_Train_4369_S02_20231016_181500.ogg,8,200,4.0
XC1008340.ogg,horscr1,BC2026_Train_4490_S02_20231120_001500.ogg,10,197,5.0761421319796955
iNat228148.ogg,houspa,BC2026_Train_6997_S13_20240205_194500.ogg,12,197,6.091370558375635
XC115382.ogg,hyamac1,BC2026_Train_8715_S22_20221229_211500.ogg,9,198,4.545454545454546
iNat860739.ogg,larela1,BC2026_Train_7119_S22_20211001_210000.ogg,10,200,5.0
XC681764.ogg,lesela1,BC2026_Train_5312_S13_20211119_224500.ogg,11,198,5.555555555555555
XC563049.ogg,lesgrf1,BC2026_Train_0277_S11_20250916_083000.ogg,12,198,6.0606060606060606
iNat911654.ogg,limpki,BC2026_Train_4253_S02_20230916_213000.ogg,6,200,3.0
XC238244.ogg,linwoo1,BC2026_Train_10429_S14_20250606_062300.ogg,16,196,8.16326530612245
XC738975.ogg,litcuc2,BC2026_Train_5865_S13_20221113_233000.ogg,12,198,6.0606060606060606
XC674321.ogg,litnig1,BC2026_Train_10436_S14_20250606_063100.ogg,16,199,8.040201005025125
XC283524.ogg,mabpar,BC2026_Train_0712_S01_20211230_180000.ogg,11,198,5.555555555555555
XC351255.ogg,magant1,BC2026_Train_9666_S22_20231216_223000.ogg,15,199,7.537688442211055
XC259760.ogg,magtan2,BC2026_Train_0207_S10_20251128_103307.ogg,25,191,13.089005235602095
XC194844.ogg,masgna1,BC2026_Train_9997_S22_20240214_200000.ogg,13,196,6.63265306122449
iNat1240189.ogg,nacnig1,BC2026_Train_7103_S22_20210928_014500.ogg,16,190,8.421052631578947
iNat1252779.ogg,ocecra1,BC2026_Train_4387_S02_20231021_201500.ogg,12,198,6.0606060606060606
XC587327.ogg,oliwoo1,BC2026_Train_7190_S22_20211016_011500.ogg,11,192,5.729166666666666
XC566915.ogg,orbtro3,BC2026_Train_4084_S02_20230210_211500.ogg,11,196,5.612244897959184
iNat1153833.ogg,orwpar,BC2026_Train_10040_S22_20240222_014500.ogg,10,200,5.0
iNat1618941.ogg,osprey,BC2026_Train_0219_S10_20251128_103307.ogg,16,198,8.080808080808081
iNat738061.ogg,pabspi1,BC2026_Train_3911_S02_20221218_030000.ogg,12,200,6.0
iNat336484.ogg,palhor3,BC2026_Train_9130_S22_20230911_233000.ogg,10,200,5.0
XC507216.ogg,paltan1,BC2026_Train_6746_S13_20231128_031500.ogg,9,199,4.522613065326634
XC437945.ogg,phecuc1,BC2026_Train_7521_S22_20211215_191500.ogg,17,181,9.392265193370166
XC817023.ogg,picpig2,BC2026_Train_7971_S22_20220412_201500.ogg,18,197,9.137055837563452
XC709430.ogg,pirfly1,BC2026_Train_0317_S01_20210926_190000.ogg,12,199,6.030150753768844
XC342821.ogg,plasla1,BC2026_Train_10514_S16_20241217_180000.ogg,13,199,6.532663316582915
XC656885.ogg,platyr1,BC2026_Train_5830_S13_20221104_034500.ogg,14,198,7.07070707070707
XC361126.ogg,plcjay1,BC2026_Train_10437_S14_20250606_063200.ogg,14,198,7.07070707070707
XC186488.ogg,pluibi1,BC2026_Train_0078_S04_20240810_080005.ogg,10,200,5.0
XC82195.ogg,purjay1,BC2026_Train_4179_S02_20230305_230000.ogg,12,194,6.185567010309279
XC613955.ogg,pvttyr1,BC2026_Train_0787_S01_20220115_030000.ogg,9,199,4.522613065326634
iNat143971.ogg,ragmac1,BC2026_Train_10149_S22_20240310_184500.ogg,12,194,6.185567010309279
XC425046.ogg,rebscy1,BC2026_Train_3650_S02_20221012_001500.ogg,14,196,7.142857142857142
XC353720.ogg,recfin1,BC2026_Train_0093_S06_20140508_210000.ogg,8,200,4.0
XC205483.ogg,redjun,BC2026_Train_10202_S22_20240318_181500.ogg,11,199,5.527638190954774
XC838559.ogg,relser1,BC2026_Train_8829_S22_20230123_024500.ogg,11,199,5.527638190954774
XC552726.ogg,rinkin1,BC2026_Train_0227_S10_20251128_103307.ogg,8,200,4.0
XC145582.ogg,rivwar1,BC2026_Train_6922_S13_20240116_181500.ogg,6,197,3.0456852791878175
XC441042.ogg,roahaw,BC2026_Train_0033_S22_20211216_200000.ogg,12,200,6.0
iNat1690272.ogg,rubthr1,BC2026_Train_3730_S02_20221101_021500.ogg,17,199,8.542713567839195
XC844058.ogg,rufcac2,BC2026_Train_6585_S13_20231009_184500.ogg,8,197,4.060913705583756
XC2726.ogg,rufcas2,BC2026_Train_9573_S22_20231130_180000.ogg,17,192,8.854166666666668
XC340031.ogg,rufgna3,BC2026_Train_2285_S01_20240216_224500.ogg,17,198,8.585858585858585
iNat1512288.ogg,rufhor2,BC2026_Train_0219_S10_20251128_103307.ogg,16,198,8.080808080808081
iNat1203023.ogg,rufnig1,BC2026_Train_5818_S13_20221031_201500.ogg,15,198,7.575757575757576
XC169872.ogg,ruftho1,BC2026_Train_6238_S13_20230221_011500.ogg,14,198,7.07070707070707
XC890491.ogg,ruftof1,BC2026_Train_2928_S02_20211210_023000.ogg,13,197,6.598984771573605
XC401274.ogg,rumfly1,BC2026_Train_0061_S19_20250418_210000.ogg,13,195,6.666666666666667
XC239085.ogg,ruther1,BC2026_Train_3730_S02_20221101_021500.ogg,11,195,5.641025641025641
XC520575.ogg,rutjac1,BC2026_Train_10482_S15_20250617_065400.ogg,13,199,6.532663316582915
XC779852.ogg,sabspa1,BC2026_Train_1711_S01_20231013_194500.ogg,12,198,6.0606060606060606
iNat1034017.ogg,saffin,BC2026_Train_2578_S01_20240422_214500.ogg,13,200,6.5
XC2745.ogg,saytan1,BC2026_Train_6922_S13_20240116_181500.ogg,11,199,5.527638190954774
XC788940.ogg,scadov1,BC2026_Train_6863_S13_20240101_001500.ogg,17,198,8.585858585858585
XC705711.ogg,schpar1,BC2026_Train_8300_S22_20221012_224500.ogg,11,199,5.527638190954774
XC173957.ogg,scther1,BC2026_Train_5765_S13_20221015_210000.ogg,22,194,11.34020618556701
XC304278.ogg,shcfly1,BC2026_Train_8251_S22_20221003_220000.ogg,12,197,6.091370558375635
iNat590535.ogg,shshaw,BC2026_Train_7942_S22_20220304_030000.ogg,13,197,6.598984771573605
iNat897456.ogg,shtnig1,BC2026_Train_3918_S02_20221220_011500.ogg,14,200,7.000000000000001
XC914484.ogg,sibtan2,BC2026_Train_7369_S22_20211118_010000.ogg,17,200,8.5
XC238204.ogg,smbani,BC2026_Train_8271_S22_20221008_004500.ogg,12,195,6.153846153846154
XC146554.ogg,smbtin1,BC2026_Train_0892_S01_20220207_210000.ogg,9,199,4.522613065326634
XC206728.ogg,sobcac1,BC2026_Train_9233_S22_20231001_003000.ogg,13,199,6.532663316582915
XC931258.ogg,sobtyr1,BC2026_Train_7099_S22_20210927_013000.ogg,14,200,7.000000000000001
XC361771.ogg,socfly1,BC2026_Train_9559_S22_20231127_214500.ogg,11,193,5.699481865284974
iNat785613.ogg,sofspi1,BC2026_Train_10465_S14_20250903_064900.ogg,13,187,6.951871657754011
XC389129.ogg,souant1,BC2026_Train_5169_S13_20211009_230000.ogg,14,196,7.142857142857142
XC130484.ogg,soulap1,BC2026_Train_0074_S04_20240810_080005.ogg,7,199,3.5175879396984926
iNat1614869.ogg,souscr1,BC2026_Train_5683_S13_20220923_024500.ogg,11,199,5.527638190954774
XC668642.ogg,spbant3,BC2026_Train_5290_S13_20211110_180000.ogg,8,199,4.0201005025125625
XC342587.ogg,spispi1,BC2026_Train_0255_S11_20250906_054500.ogg,8,197,4.060913705583756
iNat790058.ogg,sptnig1,BC2026_Train_10341_S22_20240407_180000.ogg,18,194,9.278350515463918
XC65608.ogg,squcuc1,BC2026_Train_0234_S10_20251128_103307.ogg,18,197,9.137055837563452
XC245093.ogg,stbwoo2,BC2026_Train_0805_S01_20220120_201500.ogg,15,195,7.6923076923076925
iNat863415.ogg,strcuc1,BC2026_Train_0031_S22_20211214_204500.ogg,13,200,6.5
XC351260.ogg,strher2,BC2026_Train_0201_S10_20251128_103307.ogg,13,199,6.532663316582915
XC528705.ogg,strowl1,BC2026_Train_0049_S22_20220203_221500.ogg,11,199,5.527638190954774
iNat288017.ogg,swthum1,BC2026_Train_10473_S15_20250617_062100.ogg,12,191,6.282722513089005
XC348398.ogg,swtman1,BC2026_Train_5685_S13_20220923_034500.ogg,12,198,6.0606060606060606
XC144853.ogg,tattin1,BC2026_Train_0207_S10_20251128_103307.ogg,21,199,10.552763819095476
XC810053.ogg,thlwre1,BC2026_Train_6469_S13_20230905_024500.ogg,11,196,5.612244897959184
XC727432.ogg,toctou1,BC2026_Train_5735_S13_20221007_234500.ogg,16,196,8.16326530612245
XC167035.ogg,trokin,BC2026_Train_1472_S01_20230422_180000.ogg,9,200,4.5
iNat522733.ogg,trsowl,BC2026_Train_5221_S13_20211024_021500.ogg,17,194,8.762886597938143
XC124623.ogg,undtin1,BC2026_Train_8390_S22_20221031_200000.ogg,19,196,9.693877551020408
XC395099.ogg,varant1,BC2026_Train_10042_S22_20240222_211500.ogg,15,200,7.5
XC144814.ogg,watjac1,BC2026_Train_1858_S01_20231113_033000.ogg,13,199,6.532663316582915
XC174050.ogg,wesfie1,BC2026_Train_0219_S10_20251128_103307.ogg,14,199,7.035175879396985
XC1042904.ogg,wfwduc1,BC2026_Train_7620_S22_20220103_190000.ogg,12,198,6.0606060606060606
XC112701.ogg,whbant2,BC2026_Train_0008_S09_20250831_000000.ogg,19,199,9.547738693467336
XC165805.ogg,whbwar2,BC2026_Train_0207_S10_20251128_103307.ogg,18,192,9.375
iNat516852.ogg,whiwoo1,BC2026_Train_0251_S09_20250816_000000.ogg,18,195,9.230769230769232
XC178119.ogg,whlspi1,BC2026_Train_0199_S10_20251128_103307.ogg,10,195,5.128205128205128
XC712445.ogg,whnjay1,BC2026_Train_8715_S22_20221229_211500.ogg,12,196,6.122448979591836
XC748090.ogg,whtdov,BC2026_Train_0204_S10_20251128_103307.ogg,12,200,6.0
XC348782.ogg,whwpic1,BC2026_Train_10439_S14_20250606_063400.ogg,12,200,6.0
XC554904.ogg,y00678,BC2026_Train_5781_S13_20221019_021500.ogg,18,200,9.0
iNat18391.ogg,yebcar,BC2026_Train_5673_S13_20220919_233000.ogg,14,198,7.07070707070707
XC983864.ogg,yebela1,BC2026_Train_0296_S01_20210923_221500.ogg,11,199,5.527638190954774
XC602732.ogg,yecmac,BC2026_Train_3504_S02_20220905_230000.ogg,13,199,6.532663316582915
iNat161899.ogg,yecpar,BC2026_Train_10341_S22_20240407_180000.ogg,10,196,5.1020408163265305
iNat31893.ogg,yehcar1,BC2026_Train_8167_S22_20220919_230000.ogg,14,197,7.1065989847715745
XC378070.ogg,yeofly1,BC2026_Train_1325_S01_20230322_184500.ogg,11,200,5.5
