primary_label,n,lat_min,lat_max,lon_min,lon_max,unique_locs,lat_span_deg,lon_span_deg,span_km_approx
24287,11,-23.5484,2.4921,-52.2572,-38.0398,10,26.0405,14.217399999999998,3293.2450487606
24321,2,-25.3116,-17.3559,-57.3659,-56.7674,2,7.9557,0.5985000000000014,885.5780400176712
244024,181,-32.6547,30.357,-102.7179,-35.165,150,63.0117,67.5529,10254.062387928567
25092,26,-34.7598,-23.5472,-61.0071,-47.5494,22,11.212599999999998,13.457700000000003,1944.345174310377
25214,3,-19.7307,-19.0339,-49.7688,-45.0014,3,0.6967999999999996,4.767400000000002,534.8038632928901
326272,28,-37.1433,-24.7333,-66.2392,-50.1763,24,12.410000000000004,16.0629,2253.1218910275607
41970,21,-19.426,17.8917,-90.4697,-52.2682,10,37.3177,38.2015,5927.821260732171
43435,14,-29.3615,-12.6233,-59.5144,-48.8944,12,16.7382,10.620000000000005,2200.354148580642
47144,43,-34.7694,56.7846,-83.5607,150.8531,37,91.554,234.4138,27934.08554394948
476521,3,-22.903,-15.7753,-48.7413,-46.8269,3,7.127699999999999,1.9144000000000005,819.2148533337574
516975,1,-23.888,-23.888,-54.2489,-54.2489,1,0.0,0.0,0.0
555123,3,-20.0826,-15.7422,-48.0849,-44.2074,3,4.340399999999999,3.8774999999999977,646.0360052579188
555145,9,-30.5796,5.5522,-77.5746,-45.3435,9,36.1318,32.231100000000005,5374.453082992022
555146,18,-27.4369,4.8755,-72.5469,-35.4829,14,32.312400000000004,37.06399999999999,5458.030718229145
64898,3,-20.9809,-14.1705,-67.9316,-56.5161,3,6.810399999999998,11.415500000000002,1475.4868404698193
65377,46,-33.9003,5.4766,-63.4194,-44.834,38,39.3769,18.5854,4833.2277485706345
65380,23,-35.1305,-5.2064,-72.7167,-37.321,21,29.924099999999996,35.395700000000005,5144.831846378976
66971,5,-31.7308,-31.4904,-61.0127,-60.592,4,0.2403999999999975,0.4207000000000036,53.78412766467467
67107,14,-32.4757,-7.8531,-65.4868,-34.8374,14,24.622600000000002,30.6494,4363.949367253191
67252,6,-29.2778,6.9017,-73.7348,-50.9121,5,36.1795,22.822700000000005,4748.1952668470085
70711,2,-33.0256,-7.4265,-60.772,-36.3616,2,25.599099999999996,24.410399999999996,3926.2969659539717
738183,5,-20.0783,-17.8334,-58.1609,-57.5539,3,2.2448999999999977,0.6069999999999993,258.13228420368085
74113,10,22.3123,59.5427,-81.2404,47.5081,5,37.2304,128.74849999999998,14876.6003769513
74580,3,-16.5567,-13.5375,-59.9478,-56.6276,3,3.0191999999999997,3.3202,498.1327879133032
760266,7,-23.6453,-15.4073,-55.8327,-46.8851,7,8.238,8.947600000000001,1350.027385660365
ashgre1,106,-23.7629,5.8644,-76.5614,-42.5501,73,29.627299999999998,34.011300000000006,5006.758859756139
astcra1,128,-30.3341,5.9476,-76.4861,-34.843,89,36.2817,41.64309999999999,6130.6873962005675
bafcur1,51,-25.9869,-2.9575,-65.2761,-46.547,39,23.0294,18.729100000000003,3294.9101552038665
baffal1,337,-29.4475,18.6629,-95.1437,-39.0933,257,48.1104,56.050399999999996,8199.180076985182
banana,498,-31.3266,28.3369,-96.938,-34.8403,404,59.6635,62.0977,9558.806474286961
barant1,454,-31.6359,23.1162,-99.1817,-35.165,332,54.7521,64.01670000000001,9350.345321783005
batbel1,229,-29.4286,-12.5834,-55.5313,-39.0747,176,16.8452,16.4566,2613.99802650243
baymac,167,-22.7395,25.6815,-80.3197,54.2836,138,48.421,134.6033,15878.293589050953
bbwduc,491,-32.4255,43.6368,-111.0413,4.8048,376,76.0623,115.8461,15382.93105190446
bcwfin2,56,-34.4711,-17.9174,-65.3196,-56.3636,41,16.5537,8.955999999999996,2089.1453863961906
bkcdon,189,-28.5361,9.9039,-78.6598,-34.8891,130,38.44,43.770700000000005,6466.174242840607
bkhpar,109,-34.7901,41.4031,-119.0125,2.1854,96,76.1932,121.1979,15890.585191348324
blchaw1,58,-30.1991,17.636,-92.0146,-47.3442,47,47.8351,44.6704,7264.898212396549
blheag1,169,-28.6452,21.5019,-105.1549,-35.7699,136,50.147099999999995,69.38499999999999,9502.669652633127
blttit1,71,-28.6431,6.28,-76.461,-35.8681,56,34.9231,40.5929,5943.846801253412
bncfly,492,-34.6081,41.7058,-118.3489,-35.4423,369,76.3139,82.9066,12507.742650337157
bobfly1,492,-33.0416,23.1162,-105.2517,-35.165,386,56.1578,70.08670000000001,9968.914892928486
brcmar1,123,-39.5435,8.939,-83.476,-39.1405,94,48.4825,44.335499999999996,7292.446035771982
brnowl,474,-39.5435,49.0444,-124.1677,-35.1901,392,88.5879,88.9776,13936.945940642181
bucmot4,169,-22.1931,9.63,-77.55,-34.9563,108,31.823100000000004,42.5937,5901.748991953936
bucpar,124,-36.9084,38.7802,-157.9956,-5.9872,79,75.68860000000001,152.0084,18848.871348519704
bufpar,206,-34.8619,44.4204,-66.0704,8.9597,170,79.28229999999999,75.0301,12116.40073909638
bunibi1,174,-32.2627,9.4788,-76.5331,-43.1028,132,41.7415,33.4303,5936.1008575974465
burowl,238,-42.5054,49.3581,-121.694,-35.2235,175,91.8635,86.4705,14003.629960863807
camfli1,122,-39.5435,-13.3558,-66.1005,-38.9805,103,26.1877,27.119999999999997,4184.700046063527
chacha1,99,-34.2694,-15.5914,-65.8104,-55.863,72,18.677999999999997,9.947400000000002,2348.9510705448843
chbmoc1,270,-49.3055,0.5758,-68.0616,-35.2057,209,49.8813,32.8559,6630.012674927138
chobla1,244,-34.3596,-4.8311,-68.0243,-37.427,186,29.5285,30.597299999999997,4719.950608535257
chvcon1,120,-32.8606,6.0127,-77.717,-35.8457,83,38.8733,41.8713,6341.917966000678
cibspi1,41,-25.6723,-5.1723,-78.7667,-35.7289,29,20.5,43.0378,5291.455372724751
coffal1,495,-29.5306,25.6354,-106.7474,-35.1828,391,55.166,71.5646,10029.867824591725
compau,493,-32.1378,29.6008,-106.6833,-35.1428,416,61.7386,71.54050000000001,10489.17572828568
compot1,368,-34.3688,11.1956,-84.6311,-35.2901,262,45.5644,49.341,7454.911415585269
crbthr1,269,-39.6772,-5.7717,-68.9938,-36.3541,198,33.905499999999996,32.63969999999999,5224.001228163631
crebec1,81,-31.797,-3.9797,-65.4577,-37.2595,60,27.8173,28.1982,4396.693974230197
dwatin1,23,-20.2551,-13.4183,-66.0812,-46.3658,15,6.836799999999998,19.715399999999995,2316.2559965771047
epaori4,188,-35.2501,-4.2298,-66.6593,-35.5306,131,31.020300000000002,31.128700000000002,4878.011127148582
eulfly1,355,-35.2391,11.235,-78.6598,-35.1589,270,46.4741,43.5009,7065.889180890826
fabwre1,79,-20.3144,-10.3588,-66.2843,-55.8952,39,9.955599999999999,10.3891,1597.194618030179
fepowl,497,-36.678,31.9538,-113.0093,-34.8374,425,68.6318,78.1719,11546.758618538488
ficman1,66,-16.9481,3.3821,-76.9894,-48.1371,45,20.3302,28.852300000000007,3917.8003853377904
flawar1,204,-25.8687,11.169,-72.6175,-34.8205,141,37.0377,37.797000000000004,5873.992082528124
fotfly,83,-39.6772,18.2887,-95.9128,-42.8882,63,57.9659,53.02460000000001,8720.145989326003
fusfly1,248,-30.5335,11.3074,-76.859,-35.7482,157,41.8409,41.1108,6511.035942522008
gilhum1,117,-34.9151,-13.7656,-67.0427,-47.8024,96,21.149500000000003,19.240299999999998,3173.688765579124
giwrai1,111,-34.9038,-8.102,-61.1551,-43.677,90,26.801799999999997,17.478099999999998,3551.6886016055587
glteme1,109,-28.7025,10.4767,-78.964,-35.7482,76,39.1792,43.2158,6474.8452050046635
grasal3,362,-36.6803,9.2515,-79.145,-39.546,259,45.9318,39.599,6731.590449117433
greani1,127,-31.5817,10.6442,-79.7522,-39.0356,75,42.2259,40.7166,6511.13941114954
greant1,475,-32.8606,17.6152,-92.8534,-34.8391,350,50.4758,58.01429999999999,8535.795632030544
greela,224,-31.3653,26.9847,-108.9437,-36.3716,161,58.35,72.5721,10336.378288192127
grekis,482,-36.7521,32.2683,-109.9042,-35.0655,429,69.0204,74.8387,11300.566851962154
grepot1,72,-19.7793,16.1126,-90.9409,-39.1395,54,35.8919,51.8014,6995.3020144372595
gretho2,153,-34.4693,-9.1698,-66.1005,-40.3268,103,25.299499999999995,25.773699999999998,4008.849654378764
greyel,475,-45.5479,63.7867,-152.6114,-38.9654,396,109.3346,113.646,17504.762669896565
grfdov1,195,-34.1806,10.6531,-78.6413,-35.8551,151,44.8337,42.7862,6879.062855817479
grhtan1,94,-22.4147,20.5906,-89.1111,-46.7001,60,43.0053,42.410999999999994,6704.389661821416
gycwor1,436,-37.9324,11.4947,-85.6777,-34.8395,354,49.4271,50.8382,7870.487693819338
horscr1,102,-23.8858,10.6444,-79.7369,-40.3081,73,34.5302,39.4288,5817.676128559847
houspa,496,-46.6591,69.578,-125.1308,175.3239,483,116.2371,300.4547,35759.247404917354
hyamac1,65,-21.0334,-3.847,-57.4334,-46.105,36,17.1864,11.328400000000002,2284.8346111957253
larela1,144,-34.497,1.6759,-77.5659,-35.0924,117,36.1729,42.4735,6192.643041847952
lesela1,121,-27.5302,10.368,-84.2547,-34.8452,85,37.8982,49.4095,6911.987249355304
lesgrf1,30,-31.8838,-18.3949,-59.9667,-43.5316,25,13.488900000000001,16.435100000000006,2360.056657126185
limpki,405,-35.6287,45.1663,-105.2524,-38.4065,311,80.795,66.8459,11639.770560757244
linwoo1,356,-27.9514,27.0819,-108.9761,-34.8415,282,55.0333,74.1346,10248.494225200211
litcuc2,104,-20.2411,6.0137,-79.363,-44.8319,66,26.2548,34.5311,4815.035414124204
litnig1,109,-34.7636,-3.3303,-76.9755,-35.2894,99,31.433299999999996,41.686099999999996,5795.202828094465
mabpar,105,-34.8504,-14.3834,-59.6064,-39.5709,91,20.467,20.0355,3179.175160652406
magant1,63,-20.5416,-13.2414,-65.2131,-55.7819,38,7.3001999999999985,9.431199999999997,1323.8370848888767
magtan2,74,-27.0013,1.7135,-78.75,-39.5709,62,28.7148,39.1791,5391.837557724439
masgna1,263,-38.6768,-6.3262,-66.5617,-45.0536,171,32.3506,21.5081,4312.117402255692
nacnig1,18,-34.3017,-14.625,-64.8076,-40.0865,14,19.676699999999997,24.721099999999993,3507.152648673863
ocecra1,15,-27.407,10.3739,-66.98,-46.6913,11,37.7809,20.288700000000006,4760.111441820716
oliwoo1,424,-29.5787,23.0998,-104.9933,-35.0373,282,52.6785,69.956,9720.499043811396
orbtro3,81,-23.7629,3.9598,-78.7088,-47.327,61,27.7227,31.3818,4647.925979737213
orwpar,195,-22.9902,37.3748,-80.3268,-5.9887,149,60.365,74.33810000000001,10629.423020718097
osprey,495,-33.7461,64.8635,-147.4667,153.0924,440,98.6096,300.5591,35111.74517939881
pabspi1,316,-42.4367,11.8168,-84.5187,-35.9071,263,54.2535,48.611599999999996,8085.898534177633
palhor3,69,-17.3986,10.8564,-81.0553,-37.9047,50,28.255,43.150600000000004,5725.1894432709005
paltan1,247,-31.7551,11.2407,-84.8952,-34.8731,196,42.9958,50.0221,7321.667453513719
phecuc1,149,-27.3395,20.9676,-96.4373,-39.0173,112,48.307100000000005,57.419999999999995,8329.166866893807
picpig2,162,-39.5435,-6.7131,-65.3196,-36.3542,133,32.830400000000004,28.965399999999995,4859.7589472137115
pirfly1,345,-28.6431,20.6789,-97.4621,-35.165,256,49.322,62.29710000000001,8819.848189739074
plasla1,120,-22.8758,-3.5208,-56.8764,-35.0655,81,19.355,21.810899999999997,3236.809073751958
platyr1,36,-30.0163,-10.8814,-66.0995,-55.8297,27,19.134900000000002,10.269800000000004,2410.548923918793
plcjay1,186,-34.4687,-7.7282,-65.6386,-44.4297,148,26.740499999999997,21.2089,3788.4541959388466
pluibi1,68,-34.9264,-13.693,-66.1005,-49.3122,40,21.233400000000003,16.7883,3004.604730622058
purjay1,77,-28.0128,-12.5619,-71.3757,-55.4578,67,15.450899999999999,15.917899999999996,2462.3739514707386
pvttyr1,241,-34.0015,11.4947,-77.0459,-35.0701,165,45.4962,41.97580000000001,6871.134907203153
ragmac1,102,-25.6207,22.3113,-76.7175,113.8057,80,47.932,190.5232,21807.06982033944
rebscy1,182,-32.8606,11.4212,-80.786,-37.6461,127,44.2818,43.139900000000004,6862.2142591457505
recfin1,126,-33.0637,-0.7046,-79.133,-42.7735,91,32.3591,36.3595,5402.7755932568825
redjun,208,-35.3653,59.9674,-159.6556,169.2891,141,95.33269999999999,328.9447,38015.3430301381
relser1,135,-34.1191,-3.3086,-65.3753,-37.3904,119,30.810500000000005,27.984899999999996,4620.10954338763
rinkin1,235,-39.801,32.7604,-109.7038,-34.8942,185,72.56139999999999,74.8096,11568.326606106024
rivwar1,100,-26.6572,6.1848,-67.9316,-40.4213,87,32.842,27.5103,4755.431694081925
roahaw,489,-38.0028,22.359,-104.3713,-35.165,405,60.3618,69.2063,10193.31733052967
rubthr1,499,-39.3022,-3.8176,-66.2367,-35.2049,409,35.4846,31.031799999999997,5232.480953977415
rufcac2,28,-20.3144,-10.7954,-66.1005,-55.863,19,9.518999999999998,10.237499999999997,1551.6901463524375
rufcas2,58,-28.0217,-6.521,-76.4178,-44.1501,37,21.5007,32.2677,4304.002010958334
rufgna3,159,-29.4244,-14.134,-55.71,-39.5643,117,15.290399999999998,16.145699999999998,2468.2964966082677
rufhor2,315,-39.6743,-7.1545,-68.9327,-37.4351,258,32.519800000000004,31.4976,5025.292786802954
rufnig1,256,-31.669,13.9739,-83.2735,-34.956,135,45.6429,48.317499999999995,7377.831186438048
ruftho1,98,-25.0608,11.4947,-79.1172,-35.165,70,36.5555,43.9522,6345.570567756211
ruftof1,98,-24.0559,1.4898,-78.9584,-46.3569,60,25.5457,32.601499999999994,4597.384421440906
rumfly1,247,-25.8673,10.6196,-83.2051,-40.9869,187,36.4869,42.2182,6193.8301199657435
ruther1,86,-34.7516,7.5637,-78.851,-35.1186,63,42.3153,43.7324,6754.701071791101
rutjac1,265,-23.393,18.2071,-92.049,-35.165,193,41.6001,56.88400000000001,7822.435308663103
sabspa1,69,-31.3679,-14.625,-59.9327,-43.0104,57,16.7429,16.9223,2642.3804422152575
saffin,479,-39.5435,21.6817,-158.1053,-34.8733,386,61.2252,123.232,15273.959349818628
saytan1,278,-35.6357,-3.7452,-68.414,-35.165,210,31.8905,33.249,5113.836367365625
scadov1,164,-30.4864,11.4947,-73.3615,-34.9913,139,41.9811,38.370200000000004,6313.046328808719
schpar1,145,-34.8705,25.7182,-80.2781,-37.6615,117,60.5887,42.6166,8222.3696083552
scther1,103,-28.7888,-14.3834,-55.5194,-39.5643,74,14.405399999999998,15.955099999999995,2386.063098004654
shcfly1,223,-30.2561,8.5984,-78.6598,-34.8488,181,38.8545,43.81100000000001,6499.97261964166
shshaw,101,-38.2746,57.4716,-130.2511,-42.9326,83,95.7462,87.3185,14383.756415404061
shtnig1,163,-31.1801,14.9541,-84.5268,-35.8389,127,46.1342,48.68789999999999,7445.176384327778
sibtan2,226,-23.7629,27.7252,-82.6486,-45.7376,180,51.4881,36.911,7032.046119993655
smbani,305,-31.6083,30.4084,-90.3852,-35.165,237,62.0167,55.2202,9217.239469935916
smbtin1,94,-26.9747,1.991,-69.1714,-35.065,76,28.9657,34.10640000000001,4966.872706530887
sobcac1,183,-34.7838,5.76,-77.6661,-35.0212,124,40.5438,42.6449,6531.467895445743
sobtyr1,490,-34.9121,11.15,-84.6167,-35.1863,376,46.0621,49.43039999999999,7499.757940662015
socfly1,494,-28.5605,27.7834,-109.8984,-34.8385,385,56.343900000000005,75.0599,10417.823767753303
sofspi1,437,-37.3688,-3.8531,-67.1417,-35.065,330,33.5157,32.0767,5149.511001521502
souant1,159,-27.4144,-9.3001,-63.9445,-35.9334,126,18.1143,28.0111,3702.7270585410015
soulap1,497,-54.8574,15.2899,-92.9603,-34.9545,423,70.1473,58.0058,10103.632266545954
souscr1,103,-39.5435,-9.1737,-66.1834,-47.9831,87,30.3698,18.200300000000006,3930.051635324113
spbant3,205,-28.6419,-14.3834,-55.7293,-39.5643,144,14.2585,16.165,2392.5896083882103
spispi1,239,-36.4001,-11.9501,-59.0317,-39.5281,199,24.450000000000003,19.5036,3471.644405837119
sptnig1,3,-22.5736,18.0004,-94.4991,-41.0914,3,40.574,53.4077,7444.974384231828
squcuc1,432,-32.0417,27.0633,-109.0398,-35.165,322,59.105000000000004,73.8748,10501.613207483544
stbwoo2,219,-17.767,11.8168,-79.4684,-34.8995,153,29.5838,44.5689,5937.813284885072
strcuc1,485,-36.9133,18.6278,-95.8848,-34.9918,387,55.5411,60.893,9148.427975668028
strher2,164,-33.9454,42.5275,-80.786,153.5514,113,76.47290000000001,234.3374,27361.471061895187
strowl1,184,-38.6965,19.5209,-96.9418,-35.2059,127,58.2174,61.7359,9419.046266451502
swthum1,98,-34.7768,-5.978,-65.015,-35.165,70,28.7988,29.85,4604.0163827599745
swtman1,355,-30.1925,-13.8963,-56.8537,-39.5643,260,16.2962,17.2894,2637.2476119740445
tattin1,138,-32.3958,-4.867,-79.117,-35.7768,121,27.5288,43.3402,5699.185545187934
thlwre1,213,-31.6601,2.4956,-78.8706,-39.376,162,34.1557,39.4946,5795.895873978384
toctou1,148,-27.4309,4.8334,-66.1005,-42.7718,124,32.2643,23.328699999999998,4419.435829025666
trokin,483,-39.6772,48.3669,-124.6204,-35.2664,408,88.0441,89.35400000000001,13924.152918796892
trsowl,491,-39.6733,11.1681,-84.589,-35.1428,388,50.8414,49.4462,7872.220362955828
undtin1,204,-26.0306,6.963,-77.5094,-43.6342,159,32.9936,33.8752,5248.9115138222705
varant1,291,-34.4927,-3.8531,-77.9845,-34.8486,229,30.639599999999998,43.1359,5873.033975793718
watjac1,134,-35.6407,11.348,-80.5859,-34.9918,107,46.9887,45.5941,7267.542123185974
wesfie1,136,-19.0508,2.2184,-80.7952,-55.6517,84,21.269199999999998,25.143499999999996,3655.5494706850413
wfwduc1,133,-36.6871,49.5294,-76.3552,49.2472,102,86.2165,125.60239999999999,16910.38561436259
whbant2,75,-27.513,-22.2236,-53.991,-42.4412,43,5.2894000000000005,11.549799999999998,1410.0741706734434
whbwar2,243,-34.9061,-19.9766,-60.9047,-42.4918,189,14.9295,18.4129,2631.2499233079056
whiwoo1,150,-35.6195,-2.6111,-66.1005,-35.2235,127,33.0084,30.876999999999995,5017.081630806773
whlspi1,59,-20.2209,-9.2258,-59.6716,-49.8953,37,10.9951,9.776299999999999,1633.1275215639778
whnjay1,105,-23.9263,-3.8163,-52.9936,-34.8433,79,20.11,18.1503,3006.943678122171
whtdov,491,-36.9543,31.4677,-110.3621,-34.8426,398,68.422,75.5195,11311.52903565757
whwpic1,83,-22.8842,-5.2036,-68.532,-39.2554,56,17.6806,29.276599999999995,3796.3345671342395
y00678,188,-49.3039,29.9812,-109.7095,-35.1428,143,79.2851,74.5667,12081.328843985619
yebcar,27,-34.2342,19.6028,-155.9545,-48.3481,22,53.837,107.6064,13355.823276915473
yebela1,297,-31.807,21.4302,-94.5653,-35.065,217,53.2372,59.500299999999996,8862.281405190286
yecmac,46,-23.776,-9.4642,-64.947,-49.666,30,14.3118,15.281000000000006,2323.9503017786424
yecpar,243,-34.9926,34.1786,-118.4761,-38.4113,206,69.1712,80.0648,11744.527619431192
yehcar1,82,-29.9603,25.9067,-84.4324,-34.8327,72,55.867000000000004,49.5997,8292.563235714148
yeofly1,493,-32.144,21.105,-96.3308,-35.7289,371,53.248999999999995,60.60189999999999,8954.643391709118
