labeled,unlabeled,n_shared_hashes,lab_total_hashes,share_pct
BC2026_Train_0011_S03_20211114_200000.ogg,BC2026_Train_2801_S02_20211108_013000.ogg,16,200,8.0
BC2026_Train_0012_S03_20220211_233000.ogg,BC2026_Train_4992_S02_20240329_223000.ogg,13,196,6.63265306122449
BC2026_Train_0012_S03_20220211_233000.ogg,BC2026_Train_0479_S01_20211109_010000.ogg,12,196,6.122448979591836
BC2026_Train_0012_S03_20220211_233000.ogg,BC2026_Train_2967_S02_20211220_234500.ogg,11,196,5.612244897959184
BC2026_Train_0013_S13_20220217_233000.ogg,BC2026_Train_9322_S22_20231015_013000.ogg,20,189,10.582010582010582
BC2026_Train_0013_S13_20220217_233000.ogg,BC2026_Train_3018_S02_20220102_010000.ogg,19,189,10.052910052910052
BC2026_Train_0013_S13_20220217_233000.ogg,BC2026_Train_2879_S02_20211128_004500.ogg,19,189,10.052910052910052
BC2026_Train_0014_S13_20220228_214500.ogg,BC2026_Train_5372_S13_20220228_031500.ogg,12,200,6.0
BC2026_Train_0014_S13_20220228_214500.ogg,BC2026_Train_7255_S22_20211028_180000.ogg,10,200,5.0
BC2026_Train_0014_S13_20220228_214500.ogg,BC2026_Train_1060_S01_20230128_233000.ogg,10,200,5.0
BC2026_Train_0015_S18_20211016_011500.ogg,BC2026_Train_3498_S02_20220904_194500.ogg,13,198,6.565656565656567
BC2026_Train_0015_S18_20211016_011500.ogg,BC2026_Train_3131_S02_20220201_013000.ogg,13,198,6.565656565656567
BC2026_Train_0015_S18_20211016_011500.ogg,BC2026_Train_2589_S01_20240426_024500.ogg,13,198,6.565656565656567
BC2026_Train_0016_S18_20220204_221500.ogg,BC2026_Train_10407_S12_20220406_184500.ogg,21,196,10.714285714285714
BC2026_Train_0016_S18_20220204_221500.ogg,BC2026_Train_2811_S02_20211110_021500.ogg,18,196,9.183673469387756
BC2026_Train_0016_S18_20220204_221500.ogg,BC2026_Train_2327_S01_20240226_034500.ogg,18,196,9.183673469387756
BC2026_Train_0017_S22_20211026_233000.ogg,BC2026_Train_3182_S02_20220214_011500.ogg,22,200,11.0
BC2026_Train_0017_S22_20211026_233000.ogg,BC2026_Train_3651_S02_20221012_201500.ogg,19,200,9.5
BC2026_Train_0017_S22_20211026_233000.ogg,BC2026_Train_3054_S02_20220111_231500.ogg,19,200,9.5
BC2026_Train_0018_S22_20211028_234500.ogg,BC2026_Train_4279_S02_20230923_034500.ogg,19,196,9.693877551020408
BC2026_Train_0018_S22_20211028_234500.ogg,BC2026_Train_0700_S01_20211227_020000.ogg,19,196,9.693877551020408
BC2026_Train_0018_S22_20211028_234500.ogg,BC2026_Train_10347_S22_20240409_011500.ogg,19,196,9.693877551020408
BC2026_Train_0019_S22_20211104_200000.ogg,BC2026_Train_3466_S02_20220425_191500.ogg,20,200,10.0
BC2026_Train_0019_S22_20211104_200000.ogg,BC2026_Train_0379_S01_20211011_184500.ogg,18,200,9.0
BC2026_Train_0019_S22_20211104_200000.ogg,BC2026_Train_9354_S22_20231021_221500.ogg,16,200,8.0
BC2026_Train_0020_S22_20211104_231500.ogg,BC2026_Train_4309_S02_20231001_010000.ogg,15,198,7.575757575757576
BC2026_Train_0020_S22_20211104_231500.ogg,BC2026_Train_7252_S22_20211027_213000.ogg,15,198,7.575757575757576
BC2026_Train_0020_S22_20211104_231500.ogg,BC2026_Train_0190_S07_20141013_000600.ogg,14,198,7.07070707070707
BC2026_Train_0021_S22_20211106_023000.ogg,BC2026_Train_8653_S22_20221218_183000.ogg,11,199,5.527638190954774
BC2026_Train_0021_S22_20211106_023000.ogg,BC2026_Train_1113_S01_20230209_014500.ogg,11,199,5.527638190954774
BC2026_Train_0021_S22_20211106_023000.ogg,BC2026_Train_3995_S02_20230110_214500.ogg,11,199,5.527638190954774
BC2026_Train_0022_S22_20211114_014500.ogg,BC2026_Train_9320_S22_20231014_221500.ogg,20,197,10.152284263959391
BC2026_Train_0022_S22_20211114_014500.ogg,BC2026_Train_9415_S22_20231031_191500.ogg,16,197,8.121827411167512
BC2026_Train_0022_S22_20211114_014500.ogg,BC2026_Train_2538_S01_20240414_001500.ogg,16,197,8.121827411167512
BC2026_Train_0023_S22_20211121_230000.ogg,BC2026_Train_2154_S01_20240117_030000.ogg,15,198,7.575757575757576
BC2026_Train_0023_S22_20211121_230000.ogg,BC2026_Train_3460_S02_20220422_200000.ogg,15,198,7.575757575757576
BC2026_Train_0023_S22_20211121_230000.ogg,BC2026_Train_8706_S22_20221228_023000.ogg,15,198,7.575757575757576
BC2026_Train_0024_S22_20211123_004500.ogg,BC2026_Train_2094_S01_20240101_014500.ogg,18,196,9.183673469387756
BC2026_Train_0024_S22_20211123_004500.ogg,BC2026_Train_3241_S02_20220227_220000.ogg,18,196,9.183673469387756
BC2026_Train_0024_S22_20211123_004500.ogg,BC2026_Train_9356_S22_20231022_021500.ogg,16,196,8.16326530612245
BC2026_Train_0025_S22_20211127_024500.ogg,BC2026_Train_9336_S22_20231018_014500.ogg,17,198,8.585858585858585
BC2026_Train_0025_S22_20211127_024500.ogg,BC2026_Train_2313_S01_20240223_031500.ogg,16,198,8.080808080808081
BC2026_Train_0025_S22_20211127_024500.ogg,BC2026_Train_9016_S22_20230223_033000.ogg,15,198,7.575757575757576
BC2026_Train_0026_S22_20211128_004500.ogg,BC2026_Train_10379_S22_20240413_024500.ogg,20,198,10.1010101010101
BC2026_Train_0026_S22_20211128_004500.ogg,BC2026_Train_3459_S02_20220422_180000.ogg,18,198,9.090909090909092
BC2026_Train_0026_S22_20211128_004500.ogg,BC2026_Train_2464_S01_20240330_211500.ogg,18,198,9.090909090909092
BC2026_Train_0027_S22_20211129_014500.ogg,BC2026_Train_4012_S02_20230118_231500.ogg,16,199,8.040201005025125
BC2026_Train_0027_S22_20211129_014500.ogg,BC2026_Train_6404_S13_20230415_031500.ogg,16,199,8.040201005025125
BC2026_Train_0027_S22_20211129_014500.ogg,BC2026_Train_3404_S02_20220410_001500.ogg,15,199,7.537688442211055
BC2026_Train_0028_S22_20211129_190000.ogg,BC2026_Train_7924_S22_20220301_013000.ogg,12,199,6.030150753768844
BC2026_Train_0028_S22_20211129_190000.ogg,BC2026_Train_7998_S22_20220417_220000.ogg,11,199,5.527638190954774
BC2026_Train_0029_S22_20211211_023000.ogg,BC2026_Train_3191_S02_20220216_033000.ogg,17,198,8.585858585858585
BC2026_Train_0029_S22_20211211_023000.ogg,BC2026_Train_3860_S02_20221204_230000.ogg,16,198,8.080808080808081
BC2026_Train_0029_S22_20211211_023000.ogg,BC2026_Train_3406_S02_20220410_193000.ogg,16,198,8.080808080808081
BC2026_Train_0030_S22_20211212_224500.ogg,BC2026_Train_7235_S22_20211024_003000.ogg,12,200,6.0
BC2026_Train_0030_S22_20211212_224500.ogg,BC2026_Train_5943_S13_20221203_224500.ogg,12,200,6.0
BC2026_Train_0030_S22_20211212_224500.ogg,BC2026_Train_0770_S01_20220111_200000.ogg,11,200,5.5
BC2026_Train_0031_S22_20211214_204500.ogg,BC2026_Train_6865_S13_20240101_230000.ogg,18,197,9.137055837563452
BC2026_Train_0031_S22_20211214_204500.ogg,BC2026_Train_6876_S13_20240103_223000.ogg,16,197,8.121827411167512
BC2026_Train_0031_S22_20211214_204500.ogg,BC2026_Train_5788_S13_20221021_221500.ogg,16,197,8.121827411167512
BC2026_Train_0032_S22_20211215_221500.ogg,BC2026_Train_7512_S22_20211213_204500.ogg,16,196,8.16326530612245
BC2026_Train_0032_S22_20211215_221500.ogg,BC2026_Train_7052_S21_20211020_210000.ogg,15,196,7.653061224489796
BC2026_Train_0032_S22_20211215_221500.ogg,BC2026_Train_10627_S19_20241214_200000.ogg,14,196,7.142857142857142
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_2784_S02_20211103_024500.ogg,13,199,6.532663316582915
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_5469_S13_20220325_214500.ogg,13,199,6.532663316582915
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_3611_S02_20221002_211500.ogg,12,199,6.030150753768844
BC2026_Train_0034_S22_20211222_013000.ogg,BC2026_Train_5131_S13_20210925_210000.ogg,18,197,9.137055837563452
BC2026_Train_0034_S22_20211222_013000.ogg,BC2026_Train_9475_S22_20231112_230000.ogg,14,197,7.1065989847715745
BC2026_Train_0034_S22_20211222_013000.ogg,BC2026_Train_10176_S22_20240314_021500.ogg,13,197,6.598984771573605
BC2026_Train_0035_S22_20211223_213000.ogg,BC2026_Train_8290_S22_20221011_210000.ogg,18,200,9.0
BC2026_Train_0035_S22_20211223_213000.ogg,BC2026_Train_1864_S01_20231114_201500.ogg,15,200,7.5
BC2026_Train_0035_S22_20211223_213000.ogg,BC2026_Train_7522_S22_20211215_231500.ogg,13,200,6.5
BC2026_Train_0036_S22_20211224_234500.ogg,BC2026_Train_5925_S13_20221129_193000.ogg,12,197,6.091370558375635
BC2026_Train_0036_S22_20211224_234500.ogg,BC2026_Train_6644_S13_20231026_014500.ogg,12,197,6.091370558375635
BC2026_Train_0036_S22_20211224_234500.ogg,BC2026_Train_7566_S22_20211225_011500.ogg,12,197,6.091370558375635
BC2026_Train_0037_S22_20211226_021500.ogg,BC2026_Train_9592_S22_20231203_034500.ogg,17,196,8.673469387755102
BC2026_Train_0037_S22_20211226_021500.ogg,BC2026_Train_6700_S13_20231115_033000.ogg,17,196,8.673469387755102
BC2026_Train_0037_S22_20211226_021500.ogg,BC2026_Train_7576_S22_20211226_191500.ogg,16,196,8.16326530612245
BC2026_Train_0038_S22_20211228_220000.ogg,BC2026_Train_5177_S13_20211011_211500.ogg,13,194,6.701030927835052
BC2026_Train_0038_S22_20211228_220000.ogg,BC2026_Train_7523_S22_20211215_233000.ogg,12,194,6.185567010309279
BC2026_Train_0038_S22_20211228_220000.ogg,BC2026_Train_6867_S13_20240102_001500.ogg,12,194,6.185567010309279
BC2026_Train_0039_S22_20211231_201500.ogg,BC2026_Train_7883_S22_20220222_201500.ogg,14,198,7.07070707070707
BC2026_Train_0039_S22_20211231_201500.ogg,BC2026_Train_5352_S13_20220221_190000.ogg,13,198,6.565656565656567
BC2026_Train_0039_S22_20211231_201500.ogg,BC2026_Train_0704_S01_20211228_013000.ogg,11,198,5.555555555555555
BC2026_Train_0040_S22_20220101_014500.ogg,BC2026_Train_7746_S22_20220127_021500.ogg,14,196,7.142857142857142
BC2026_Train_0040_S22_20220101_014500.ogg,BC2026_Train_7866_S22_20220218_030000.ogg,14,196,7.142857142857142
BC2026_Train_0040_S22_20220101_014500.ogg,BC2026_Train_6292_S13_20230311_001500.ogg,14,196,7.142857142857142
BC2026_Train_0041_S22_20220105_223000.ogg,BC2026_Train_7542_S22_20211220_214500.ogg,18,200,9.0
BC2026_Train_0041_S22_20220105_223000.ogg,BC2026_Train_6860_S13_20231231_193000.ogg,15,200,7.5
BC2026_Train_0041_S22_20220105_223000.ogg,BC2026_Train_3749_S02_20221105_023000.ogg,13,200,6.5
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_4439_S02_20231105_211500.ogg,15,195,7.6923076923076925
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_5787_S13_20221021_200000.ogg,14,195,7.179487179487179
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7760_S22_20220129_214500.ogg,14,195,7.179487179487179
BC2026_Train_0043_S22_20220112_040000.ogg,BC2026_Train_8058_S22_20220428_210000.ogg,21,197,10.65989847715736
BC2026_Train_0043_S22_20220112_040000.ogg,BC2026_Train_9668_S22_20231217_021500.ogg,20,197,10.152284263959391
BC2026_Train_0043_S22_20220112_040000.ogg,BC2026_Train_10299_S22_20240401_024500.ogg,19,197,9.644670050761421
BC2026_Train_0044_S22_20220124_023000.ogg,BC2026_Train_10355_S22_20240409_234500.ogg,26,195,13.333333333333334
BC2026_Train_0044_S22_20220124_023000.ogg,BC2026_Train_2808_S02_20211110_001500.ogg,25,195,12.82051282051282
BC2026_Train_0044_S22_20220124_023000.ogg,BC2026_Train_1853_S01_20231112_034500.ogg,24,195,12.307692307692308
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_6732_S13_20231125_211500.ogg,16,195,8.205128205128204
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7627_S22_20220104_213000.ogg,15,195,7.6923076923076925
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7795_S22_20220204_221500.ogg,14,195,7.179487179487179
BC2026_Train_0046_S22_20220127_230000.ogg,BC2026_Train_5173_S13_20211011_181500.ogg,17,197,8.629441624365482
BC2026_Train_0046_S22_20220127_230000.ogg,BC2026_Train_0091_S05_20250227_170004.ogg,15,197,7.614213197969544
BC2026_Train_0046_S22_20220127_230000.ogg,BC2026_Train_7517_S22_20211214_214500.ogg,15,197,7.614213197969544
BC2026_Train_0047_S22_20220131_003000.ogg,BC2026_Train_4572_S02_20231212_210000.ogg,14,200,7.000000000000001
BC2026_Train_0047_S22_20220131_003000.ogg,BC2026_Train_7685_S22_20220115_234500.ogg,13,200,6.5
BC2026_Train_0047_S22_20220131_003000.ogg,BC2026_Train_4650_S02_20240103_200000.ogg,12,200,6.0
BC2026_Train_0048_S22_20220131_180000.ogg,BC2026_Train_10167_S22_20240312_230000.ogg,17,199,8.542713567839195
BC2026_Train_0048_S22_20220131_180000.ogg,BC2026_Train_2815_S02_20211110_191500.ogg,16,199,8.040201005025125
BC2026_Train_0048_S22_20220131_180000.ogg,BC2026_Train_9062_S22_20230323_230000.ogg,16,199,8.040201005025125
BC2026_Train_0049_S22_20220203_221500.ogg,BC2026_Train_3658_S02_20221013_200000.ogg,13,199,6.532663316582915
BC2026_Train_0049_S22_20220203_221500.ogg,BC2026_Train_4339_S02_20231008_040000.ogg,12,199,6.030150753768844
BC2026_Train_0049_S22_20220203_221500.ogg,BC2026_Train_7512_S22_20211213_204500.ogg,10,199,5.025125628140704
BC2026_Train_0050_S22_20220205_214500.ogg,BC2026_Train_7543_S22_20211220_230000.ogg,14,199,7.035175879396985
BC2026_Train_0050_S22_20220205_214500.ogg,BC2026_Train_7530_S22_20211216_223000.ogg,13,199,6.532663316582915
BC2026_Train_0050_S22_20220205_214500.ogg,BC2026_Train_7636_S22_20220105_204500.ogg,12,199,6.030150753768844
BC2026_Train_0051_S22_20220208_231500.ogg,BC2026_Train_3510_S02_20220906_194500.ogg,13,196,6.63265306122449
BC2026_Train_0051_S22_20220208_231500.ogg,BC2026_Train_3075_S02_20220117_014500.ogg,13,196,6.63265306122449
BC2026_Train_0051_S22_20220208_231500.ogg,BC2026_Train_0520_S01_20211118_031500.ogg,13,196,6.63265306122449
BC2026_Train_0052_S22_20220210_210000.ogg,BC2026_Train_3538_S02_20220915_001500.ogg,15,199,7.537688442211055
BC2026_Train_0052_S22_20220210_210000.ogg,BC2026_Train_3054_S02_20220111_231500.ogg,13,199,6.532663316582915
BC2026_Train_0052_S22_20220210_210000.ogg,BC2026_Train_3834_S02_20221128_010000.ogg,13,199,6.532663316582915
BC2026_Train_0053_S22_20220211_204500.ogg,BC2026_Train_10192_S22_20240317_010000.ogg,22,197,11.16751269035533
BC2026_Train_0053_S22_20220211_204500.ogg,BC2026_Train_3086_S02_20220121_040000.ogg,22,197,11.16751269035533
BC2026_Train_0053_S22_20220211_204500.ogg,BC2026_Train_2864_S02_20211123_001500.ogg,20,197,10.152284263959391
BC2026_Train_0054_S22_20220214_034500.ogg,BC2026_Train_7035_S18_20230918_013000.ogg,20,195,10.256410256410255
BC2026_Train_0054_S22_20220214_034500.ogg,BC2026_Train_3063_S02_20220113_193000.ogg,16,195,8.205128205128204
BC2026_Train_0054_S22_20220214_034500.ogg,BC2026_Train_8406_S22_20221103_031500.ogg,15,195,7.6923076923076925
BC2026_Train_0055_S22_20220219_200000.ogg,BC2026_Train_7530_S22_20211216_223000.ogg,22,198,11.11111111111111
BC2026_Train_0055_S22_20220219_200000.ogg,BC2026_Train_6207_S13_20230212_224500.ogg,14,198,7.07070707070707
BC2026_Train_0055_S22_20220219_200000.ogg,BC2026_Train_7809_S22_20220207_211500.ogg,13,198,6.565656565656567
BC2026_Train_0056_S22_20220221_214500.ogg,BC2026_Train_3416_S02_20220413_024500.ogg,24,193,12.435233160621761
BC2026_Train_0056_S22_20220221_214500.ogg,BC2026_Train_1604_S01_20230923_034500.ogg,21,193,10.880829015544041
BC2026_Train_0056_S22_20220221_214500.ogg,BC2026_Train_3331_S02_20220321_220000.ogg,20,193,10.362694300518134
BC2026_Train_0057_S15_20250617_060000.ogg,BC2026_Train_10477_S15_20250617_064900.ogg,15,200,7.5
BC2026_Train_0057_S15_20250617_060000.ogg,BC2026_Train_10478_S15_20250617_065000.ogg,13,200,6.5
BC2026_Train_0057_S15_20250617_060000.ogg,BC2026_Train_7363_S22_20211117_183000.ogg,13,200,6.5
BC2026_Train_0058_S15_20250617_060100.ogg,BC2026_Train_10480_S15_20250617_065200.ogg,19,196,9.693877551020408
BC2026_Train_0058_S15_20250617_060100.ogg,BC2026_Train_3595_S02_20220929_220000.ogg,17,196,8.673469387755102
BC2026_Train_0058_S15_20250617_060100.ogg,BC2026_Train_6737_S13_20231126_230000.ogg,16,196,8.16326530612245
BC2026_Train_0059_S15_20250617_060200.ogg,BC2026_Train_10478_S15_20250617_065000.ogg,17,194,8.762886597938143
BC2026_Train_0059_S15_20250617_060200.ogg,BC2026_Train_10469_S15_20250617_061700.ogg,15,194,7.731958762886598
BC2026_Train_0060_S15_20250617_062700.ogg,BC2026_Train_10468_S15_20250617_061600.ogg,16,199,8.040201005025125
BC2026_Train_0060_S15_20250617_062700.ogg,BC2026_Train_7758_S22_20220129_210000.ogg,15,199,7.537688442211055
BC2026_Train_0060_S15_20250617_062700.ogg,BC2026_Train_10479_S15_20250617_065100.ogg,15,199,7.537688442211055
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_7658_S22_20220108_211500.ogg,15,199,7.537688442211055
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_4472_S02_20231115_214500.ogg,14,199,7.035175879396985
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_7536_S22_20211219_190000.ogg,14,199,7.035175879396985
BC2026_Train_0062_S19_20241213_193000.ogg,BC2026_Train_9353_S22_20231021_211500.ogg,13,200,6.5
BC2026_Train_0062_S19_20241213_193000.ogg,BC2026_Train_10580_S19_20241213_203000.ogg,13,200,6.5
BC2026_Train_0062_S19_20241213_193000.ogg,BC2026_Train_3111_S02_20220126_181500.ogg,13,200,6.5
BC2026_Train_0063_S19_20241214_190000.ogg,BC2026_Train_6223_S13_20230217_204500.ogg,12,197,6.091370558375635
BC2026_Train_0063_S19_20241214_190000.ogg,BC2026_Train_5478_S13_20220328_200000.ogg,12,197,6.091370558375635
BC2026_Train_0063_S19_20241214_190000.ogg,BC2026_Train_5575_S13_20220422_194500.ogg,12,197,6.091370558375635
BC2026_Train_0064_S23_20241124_032002.ogg,BC2026_Train_2688_S02_20211009_001500.ogg,18,199,9.045226130653267
BC2026_Train_0064_S23_20241124_032002.ogg,BC2026_Train_1536_S01_20230908_220000.ogg,18,199,9.045226130653267
BC2026_Train_0064_S23_20241124_032002.ogg,BC2026_Train_3410_S02_20220412_213000.ogg,18,199,9.045226130653267
BC2026_Train_0065_S23_20241124_040002.ogg,BC2026_Train_6994_S13_20240205_181500.ogg,14,196,7.142857142857142
BC2026_Train_0065_S23_20241124_040002.ogg,BC2026_Train_1341_S01_20230325_034500.ogg,13,196,6.63265306122449
BC2026_Train_0065_S23_20241124_040002.ogg,BC2026_Train_6254_S13_20230224_181500.ogg,11,196,5.612244897959184
BC2026_Train_0066_S23_20241124_044002.ogg,BC2026_Train_4085_S02_20230211_010000.ogg,12,200,6.0
BC2026_Train_0066_S23_20241124_044002.ogg,BC2026_Train_3996_S02_20230110_223000.ogg,12,200,6.0
BC2026_Train_0066_S23_20241124_044002.ogg,BC2026_Train_10511_S16_20241204_042000.ogg,12,200,6.0
