label,sci_name,new_id,obs_count,status,n_global,n_pantanal
rufcac2,Pseudoseisura unirufa,11718.0,350.0,exact,350.0,0.0
rufgna3,Conopophaga lineata,578313.0,644.0,exact,400.0,0.0
rufhor2,Furnarius rufus,11275.0,23511.0,exact,0.0,0.0
rufnig1,Antrostomus rufus,201066.0,641.0,exact,0.0,0.0
ruftho1,Phacellodomus rufifrons,11624.0,1123.0,exact,0.0,0.0
ruftof1,Poecilotriccus latirostris,17026.0,170.0,exact,0.0,0.0
rumfly1,Myiozetetes cayanensis,16833.0,5592.0,exact,0.0,140.0
ruther1,Tigrisoma lineatum,5048.0,9682.0,exact,0.0,0.0
rutjac1,Galbula ruficauda,,,http_429,,
sabspa1,Arremon flavirostris,10064.0,497.0,exact,0.0,0.0
saffin,Sicalis flaveola,,,http_429,,
scadov1,Columbina squammata,3564.0,3759.0,exact,0.0,0.0
schpar1,Pionus maximiliani,,,http_429,,
scther1,Phaethornis eurynome,5622.0,642.0,exact,0.0,0.0
shcfly1,Myiarchus ferox,,,http_429,,
shshaw,Accipiter striatus,5097.0,25752.0,exact,0.0,0.0
shtnig1,Lurocalis semitorquatus,,,http_429,,
sibtan2,Ramphocelus carbo,10056.0,5037.0,exact,0.0,0.0
smbani,Crotophaga ani,,,http_429,,
smbtin1,Crypturellus parvirostris,20570.0,279.0,exact,0.0,0.0
sobcac1,Cacicus solitarius,,,http_429,,
sobtyr1,Camptostoma obsoletum,16972.0,4429.0,exact,0.0,0.0
socfly1,Myiozetetes similis,,,http_429,,
sofspi1,Synallaxis frontalis,10996.0,1543.0,exact,0.0,0.0
souant1,Corythopis delalandi,,,http_429,,
soulap1,Vanellus chilensis,4867.0,37396.0,exact,0.0,0.0
souscr1,Chauna torquata,,,http_429,,
spispi1,Synallaxis spixi,10915.0,816.0,exact,0.0,0.0
sptnig1,Antiurus maculicaudus,,,http_429,,
squcuc1,Piaya cayana,1758.0,15106.0,exact,0.0,0.0
stbwoo2,Dendroplex picus,,,http_429,,
strcuc1,Tapera naevia,1989.0,1823.0,exact,0.0,0.0
strher2,Butorides striata,,,http_429,,
tattin1,Crypturellus tataupa,20587.0,324.0,exact,0.0,0.0
thlwre1,Campylorhynchus turdinus,,,http_429,,
toctou1,Ramphastos toco,18793.0,7917.0,exact,0.0,0.0
trokin,Tyrannus melancholicus,,,http_429,,
trsowl,Megascops choliba,19788.0,5279.0,exact,0.0,0.0
undtin1,Crypturellus undulatus,,,http_429,,
varant1,Thamnophilus caerulescens,15757.0,2209.0,exact,0.0,0.0
watjac1,Jacana jacana,,,http_429,,
wesfie1,Pyriglena maura,1286886.0,167.0,exact,0.0,0.0
wfwduc1,Dendrocygna viduata,,,http_429,,
whbant2,Biatas nigropectus,15902.0,90.0,exact,0.0,0.0
whbwar2,Myiothlypis leucoblephara,,,http_429,,
whiwoo1,Melanerpes candidus,18183.0,2788.0,exact,0.0,0.0
whlspi1,Synallaxis albilora,,,http_429,,
whnjay1,Cyanocorax cyanopogon,8469.0,643.0,exact,0.0,0.0
whtdov,Leptotila verreauxi,,,http_429,,
whwpic1,Picumnus albosquamatus,17786.0,598.0,exact,0.0,0.0
y00678,Caracara plancus,,,http_429,,
yebcar,Paroaria capitata,10257.0,5580.0,exact,0.0,0.0
yebela1,Elaenia flavogaster,,,http_429,,
yecmac,Primolius auricollis,73272.0,390.0,exact,0.0,0.0
yecpar,Brotogeris chiriri,,,http_429,,
yeofly1,Tolmomyias sulphurescens,16567.0,3762.0,exact,0.0,0.0
